SIZE,DECIMAL EQUIV. ,FLUTE LENGTH,OVERALL LENGTH,ALFA USA STOCK #
1,2-5/8,3-7/8,51,J160101B
2,2-5/8,3-7/8,J160102,J160102B
3,2-1/2,3-3/4,J160103,J160103B
4,2-1/2,3-3/4,J160104,J160104B
5,2-1/2,3-3/4,J160105,J160105B
6,2-1/2,3-3/4,J160106,J160106B
7,2-7/16,3-5/8,J160107,J160107B
8,2-7/16,3-5/8,J160108,J160108B
9,2-7/16,3-5/8,J160109,J160109B
10,2-7/16,3-5/8,J160110,J160110B
11,2-5/16,3-1/2,J160111,J160111B
12,2-5/16,3-1/2,J160112,J160112B
13,2-5/16,3-1/2,J160113,J160113B
14,2-3/16,3-3/8,J160114,J160114B
15,2-3/16,3-3/8,J160115,J160115B
16,2-3/16,3-3/8,J160116,J160116B
17,2-3/16,3-3/8,J160117,J160117B
18,2-1/8,3-1/4,J160118,J160118B
19,2-1/8,3-1/4,J160119,J160119B
20,2-1/8,3-1/4,J160120,J160120B
21,2-1/8,3-1/4,J160121,J160121B
22,2,3-1/8,J160122,J160122B
23,2,3-1/8,J160123,J160123B
24,2,3-1/8,J160124,J160124B
25,1-7/8,3,J160125,J160125B
26,1-7/8,3,J160126,J160126B
27,1-7/8,3,J160127,J160127B
28,1-3/4,2-7/8,J160128,J160128B
29,1-3/4,2-7/8,J160129,J160129B
30,1-5/8,2-3/4,J160130,J160130B
31,1-5/8,2-3/4,J160131,J160131B
32,1-5/8,2-3/4,J160132,J160132B
33,1-1/2,2-5/8,J160133,J160133B
34,1-1/2,2-5/8,J160134,J160134B
35,1-1/2,2-5/8,J160135,J160135B
36,1-7/16,2-1/2,J160136,J160136B
37,1-7/16,2-1/2,J160137,J160137B
38,1-7/16,2-1/2,J160138,J160138B
39,1-3/8,2-3/8,J160139,J160139B
40,1-3/8,2-3/8,J160140,J160140B
41,1-3/8,2-3/8,J160141,J160141B
42,1-1/4,2-1/4,J160142,J160142B
43,1-1/4,2-1/4,J160143,J160143B
44,1-1/8,2-1/8,J160144,J160144B
45,1-1/8,2-1/8,J160145,J160145B
46,1-1/8,2-1/8,J160146,J160146B
47,1,2,J160147,J160147B
48,1,2,J160148,J160148B
49,1,2,J160149,J160149B
50,1,2,J160150,J160150B
51,1,2,J160151,J160151B
52,7/8,1-7/8,J160152,J160152B
53,7/8,1-7/8,J160153,J160153B
54,7/8,1-7/8,J160154,J160154B
55,7/8,1-7/8,J160155,J160155B
56,3/4,1-3/4,J160156,J160156B
57,3/4,1-3/4,J160157,J160157B
58,11/16,1-5/8,J160158,J160158B
59,11/16,1-5/8,J160159,J160159B
60,11/16,1-5/8,J160160,J160160B
61,11/16,1-5/8,J160161,J160161B
62,5/8,1-1/2,J160162,J160162B
63,5/8,1-1/2,J160163,J160163B
64,5/8,1-1/2,J160164,J160164B
65,5/8,1-1/2,J160165,J160165B
66,1/2,1-3/8,J160166,J160166B
67,1/2,1-3/8,J160167,J160167B
68,1/2,1-3/8,J160168,J160168B
69,1/2,1-3/8,J160169,J160169B
70,3/8,1-1/4,J160170,J160170B
71,3/8,1-1/4,J160171,J160171B
72,5/16,1-1/8,J160172,J160172B
73,5/16,1-1/8,J160173,J160173B
74,1/4,1,J160174,J160174B
75,1/4,1,J160175,J160175B
76,3/16,7/8,J160176,J160176B
77,3/16,7/8,J160177,J160177B
78,3/16,7/8,J160178,J160178B
79,1/8,3/4,J160179,J160179B
80,1/8,3/4,J160180,J160180B
81,3/32,3/4,J160181,–
82,3/32,3/4,J160182,–
83,3/32,3/4,J160183,–
84,3/32,3/4,J160184,–
85,3/32,3/4,J160185,–
86,3/32,3/4,J160186,–
87,5/64,3/4,J160187,–
88,5/64,3/4,J160188,–
89,5/64,3/4,J160189,–
90,5/64,3/4,J160190,–
91,5/64,3/4,J160191,–
92,1/16,3/4,J160192,–
93,1/16,3/4,J160193,
94,1/16,3/4,J160194,
95,1/16,3/4,J160195,–
96,1/16,3/4,J160196,–
97,1/16,3/4,J160197,–
