DIA. OF CUT,CUTTER,"1"" DEPTH","2"" DEPTH","3"" DEPTH"
7/16,RCHS84300,RCHS84350,–,
1/2,RCHS84301,RCHS84351,–,
9/16,RCHS84302,RCHS84352,–,
5/8,RCHS84303,RCHS84353,–,
11/16,RCHS84304,RCHS84354,–,
3/4,RCHS84305,RCHS84355,–,
13/16,RCHS84306,RCHS84356,RCHS84406,
7/8,RCHS84307,RCHS84357,RCHS84407,
15/16,RCHS84308,RCHS84358,RCHS84408,
1,RCHS84309,RCHS84359,RCHS84409,
A 1-1/16,RCHS84310,RCHS84360,RCHS84410,
1-1/8,RCHS84311,RCHS84361,RCHS84411,
1-3/16,RCHS84312,RCHS84362,RCHS84412,
1-1/4,RCHS84313,RCHS84363,RCHS84413,
1-5/16,RCHS84314,RCHS84364,RCHS84414,
1-3/8,RCHS84315,RCHS84365,RCHS84415,
1-7/16,RCHS84316,RCHS84366,RCHS84416,
1-1/2,RCHS84317,RCHS84367,RCHS84417,
1-9/16,RCHS84318,RCHS84368,RCHS84418,
1-5/8,RCHS84319,RCHS84369,RCHS84419,
1-3/4,RCHS84320,RCHS84370,RCHS84420,
1-7/8,RCHS84321,RCHS84371,RCHS84421,
1-15/16,RCHS84322,RCHS84372,RCHS84422,
2,RCHS84323,RCHS84373,RCHS84423,
2-1/8,RCHS84324,RCHS84375,RCHS84425,
2-3/16,RCHS84326,RCHS84376,RCHS84426,
2-1/4,RCHS84327,RCHS84377,RCHS84427,
