DIA. OF CUT,"CUTTER 1"" DEPTH","CUTTER 2"" DEPTH","CUTTER 3"" DEPTH"
7/16,RCCO74300,RCCO74350,–
1/2,RCCO74301,RCCO74351,–
9/16,RCCO74302,RCCO74352,–
5/8,RCCO74303,RCCO74353,–
11/16,RCCO74304,RCCO74354,–
3/4,RCCO74305,RCCO74355,–
13/16,RCCO74306,RCCO74356,RCCO74406
7/8,RCCO74307,RCCO74357,RCCO74407
15/16,RCCO74308,RCCO74358,RCCO74408
1,RCCO74309,RCCO74359,RCCO74409
1-1/16,RCCO74310,RCCO74360,RCCO74410
1-1/8,RCCO74311,RCCO74361,RCCO74411
1-3/16,RCCO74312,RCCO74362,RCCO74412
1-1/4,RCCO74313,RCCO74363,RCCO74413
1-5/16,RCCO74314,RCCO74364,RCCO74414
1-3/8,RCCO74315,RCCO74365,RCCO74415
1-7/16,RCCO74316,RCCO74366,RCCO74416
1-1/2,RCCO74317,RCCO74367,RCCO74417
1-9/16,RCCO74318,RCCO74368,RCCO74418
1-5/8,RCCO74319,RCCO74369,RCCO74419
1-3/4,RCCO74320,RCCO74370,RCCO74420
1-7/8,RCCO74321,RCCO74371,RCCO74421
1-15/16,RCCO74322,RCCO74372,RCCO74422
2,RCCO74323,RCCO74373,RCCO74423
2-1/8,RCCO74324,RCCO74375,RCCO74425
2-3/16,RCCO74326,RCCO74376,RCCO74426
2-1/4,RCCO74327,RCCO74377,RCCO74427
