DIA.,STOCK #,"1"" DEPTH","2"" DEPTH"
13,RCCO74710,RCCO74810,–
14,RCCO74711,RCCO74811,–
15,RCCO74712,RCCO74812,–
16,RCCO74713,RCCO74813,–
17,RCCO74714,RCCO74814,–
18,RCCO74715,RCCO74815,–
19,RCCO74716,RCCO74816,–
20,RCCO74717,RCCO74817,–
21,RCCO74718,RCCO74818,–
22,RCCO74719,RCCO74819,–
23,RCCO74720,RCCO74820,–
24,RCCO74721,RCCO74821,–
25,RCCO74722,RCCO74822,–
26,RCCO74723,RCCO74823,–
27,RCCO74724,RCCO74824,–
28,RCCO74725,RCCO74825,–
29,RCCO74726,RCCO74826,–
30,RCCO74727,RCCO74827,–
31,RCCO74728,RCCO74828,–
32,RCCO74729,RCCO74829,–
33,RCCO74730,RCCO74830,–
34,RCCO74731,RCCO74831,–
35,RCCO74732,RCCO74832,–
36,RCCO74733,RCCO74833,–
37,RCCO74734,RCCO74834,–
38,RCCO74735,RCCO74835,–
39,RCCO74736,RCCO74836,–
40,RCCO74737,RCCO74837,–
41,RCCO74738,RCCO74838,–
42,RCCO74739,RCCO74839,–
43,RCCO74740,RCCO74840,–
44,RCCO74741,RCCO74841,–
45,RCCO74742,RCCO74842,–
46,RCCO74743,RCCO74843,–
47,RCCO74744,RCCO74844,–
48,RCCO74745,RCCO74845,–
49,RCCO74746,RCCO74846,–
50,RCCO74747,RCCO74847,–
