STOCK #,CUTTER,DIA.,"1-3/8"" DEPTH","2"" DEPTH"
RCT74608,9/16, , , 
RCT74508,9/16, , , 
RCT74609,5/8, , , 
RCT74509,5/8, , , 
RCT74610,11/16, , , 
RCT74510,11/16, , , 
RCT74612,3/4, , , 
RCT74512,3/4, , , 
RCT74614,13/16, , , 
RCT74514,13/16, , , 
RCT74616,7/8, , , 
RCT74516,7/8, , , 
RCT74618,15/16, , , 
RCT74518,15/16, , , 
RCT74620,1, , , 
RCT74520,1, , , 
RCT74622,1-1/16, , , 
RCT74522,1-1/16, , , 
RCT74624,1-1/8, , , 
RCT74524,1-1/8, , , 
RCT74626,1-3/16, , , 
RCT74526,1-3/16, , , 
RCT74628,1-1/4, , , 
RCT74528,1-1/4, , , 
RCT74630,1-5/16, , , 
RCT74530,1-5/16, , , 
RCT74632,1-3/8, , , 
RCT74532,1-3/8, , , 
RCT74634,1-7/16, , , 
RCT74534,1-7/16, , , 
RCT74636,1-1/2, , , 
RCT74536,1-1/2, , , 
RCT74638,1-9/16, , , 
RCT74538,1-9/16, , , 
RCT74640,1-5/8, , , 
RCT74540,1-5/8, , , 
RCT74642,1-11/16, , , 
RCT74542,1-11/16, , , 
RCT74644,1-3/4, , , 
RCT74544,1-3/4, , , 
RCT74646,1-13/16, , , 
RCT74546,1-13/16, , , 
RCT74648,1-7/8, , , 
RCT74548,1-7/8, , , 
RCT74650,1-15/16, , , 
RCT74550,1-15/16, , , 
RCT74652,2, , , 
