SIZE,FLUTES,LIMITS,TAP NO.,OF GRIND,STOCK #,TPI
4,40,2,H2,HPMP90107,H2,
6,32,2,H3,HPMP90111,H3,
6,40,2,H2,HPMP90112,H2,
8,32,3,H3,HPMP90113,H3,
10,24,3,H3,HPMP90115,H3,
10,32,3,H3,HPMP90116,H3,
"1/4""",20,3,H5,HPMP90130,H5,
"1/4""",20,3,H5,HPMP70930,H5,
"1/4""",28,3,H4,HPMP70931,H4,
"1/4""",28,3,H4,HPMP90131,H4,
"5/16""",18,3,H5,HPMP70932,H5,
"5/16""",18,3,H5,HPMP90132,H5,
"5/16""",24,3,H4,HPMP70933,H4,
"5/16""",24,3,H4,HPMP90133,H4,
"3/8""",16,3,H5,HPMP70934,H5,
"3/8""",16,3,H5,HPMP90134,H5,
"3/8""",24,3,H4,HPMP70935,H4,
"3/8""",24,3,H4,HPMP90135,H4,
"7/16""",14,3,H5,HPMP70936,H5,
"7/16""",14,3,H5,HPMP90136,H5,
"7/16""",20,3,H5,HPMP70937,H5,
"7/16""",20,3,H5,HPMP90137,H5,
"1/2""",13,3,H5,HPMP70938,H5,
"1/2""",13,3,H5,HPMP90138,H5,
"1/2""",20,3,H5,HPMP70939,H5,
"1/2""",20,3,H5,HPMP90139,H5,
"5/8""",11,3,H6,HPMP70942,H6,
"5/8""",11,4,H6,HPMP90142,H6,
"5/8""",18,3,H5,HPMP70943,H5,
"5/8""",18,4,H5,HPMP90143,H5,
"3/4""",10,3,H6,HPMP70946,H6,
"3/4""",10,4,H6,HPMP90146,H4,
"3/4""",16,3,H5,HPMP70947,H5,
"3/4""",16,4,H5,HPMP90147,H5,
"7/8""",9,4,H6,HPMP70949,H4,
"7/8""",9,4,H6,HPMP90149,H4,
"7/8""",14,4,H6,HPMP70950,H4,
"7/8""",14,4,H6,HPMP90150,H4,
"1""",8,4,H6,HPMP70953,H4,
"1""",8,4,H6,HPMP90153,H4,
"1""",12,4,H6,HPMP70954,H4,
"1""",12,4,H6,HPMP90154,H4,
