TAP NO.,OF GRIND,TPI,STOCK #,TPI.1,OF GRIND.1,STOCK #.1,SIZE,FLUTES,LIMITS,SIZE.1,FLUTES.1,LIMITS.1
4,40,2,H2,HPLT30707,4,40.0,3.0,H2,HPLT71107,,,
6,32,2,H3,HPLT30711,6,32.0,3.0,H3,HPLT71111,,,
6,40,2,H2,HPLT30712,8,32.0,3.0,H3,HPLT71113,,,
8,32,3,H3,HPLT30713,10,24.0,3.0,H3,HPLT71115,,,
10,24,3,H3,HPLT30715,10,32.0,3.0,H3,HPLT71116,,,
10,32,3,H3,HPLT30716,"1/4""",20.0,3.0,H5,HPLT71130,,,
"1/4""",20,3,H5,HPLT30730,"1/4""",28.0,3.0,H4,HPLT71131,,,
"1/4""",28,3,H4,HPLT30731,"5/16""",18.0,3.0,H5,HPLT71132,,,
"5/16""",18,2,H5,HPLT30732,"5/16""",24.0,3.0,H4,HPLT71133,,,
"5/16""",24,3,H4,HPLT30733,"3/8""",16.0,3.0,H5,HPLT71134,,,
"3/8""",16,3,H5,HPLT30734,"3/8""",24.0,3.0,H4,HPLT71135,,,
"3/8""",24,3,H4,HPLT30735,"7/16""",14.0,3.0,H5,HPLT71136,,,
"7/16""",14,3,H5,HPLT30736,"7/16""",20.0,3.0,H5,HPLT71137,,,
"7/16""",20,3,H5,HPLT30737,"1/2""",13.0,3.0,H5,HPLT71138,,,
"1/2""",13,3,H5,HPLT30738,"1/2""",20.0,3.0,H5,HPLT71139,,,
"1/2""",20,3,H5,HPLT30739,"5/8""",11.0,3.0,H5,HPLT71142,,,
"5/8""",11,4,H5,HPLT30742,"5/8""",18.0,3.0,H5,HPLT71143,,,
"5/8""",18,4,H5,HPLT30743,"3/4""",10.0,3.0,H5,HPLT71146,,,
"3/4""",10,4,H5,HPLT30746,"3/4""",16.0,3.0,H5,HPLT71147,,,
"3/4""",16,4,H5,HPLT30747,"7/8""",9.0,4.0,H6,HPLT71149,,,
"7/8""",9,4,H6,HPLT30749,"7/8""",14.0,4.0,H6,HPLT71150,,,
"7/8""",14,4,H6,HPLT30750,"1""",8.0,4.0,H6,HPLT71153,,,
"1""",8,4,H6,HPLT30753,"1""",12.0,4.0,H6,HPLT71154,,,
"1""",12,4,H6,HPLT30754,,,,,,,,
