TAP SIZE,THREADS PER INCH,NO. OF GRIND,STOCK #,FLUTES,LIMITS,TAPER,PLUG,BOTTOM,SET OF 3
0,80 NF,2,H1,HTT170000,HTP170000,HTB170000,HTS170000,,
1,64 NC,2,H1,HTT170001,HTP170001,HTB170001,HTS170001,,
1,72 NF,2,H1,HTT170002,HTP170002,HTB170002,HTS170002,,
2,56 NC,3,H2,HTT170003,HTP170003,HTB170003,HTS170003,,
2,64 NF,3,H2,HTT170004,HTP170004,HTB170004,HTS170004,,
3,48 NC,3,H2,HTT170005,HTP170005,HTB170005,HTS170005,,
3,56 NF,3,H2,HTT170006,HTP170006,HTB170006,HTS170006,,
4,40 NC,3,H2,HTT170007,HTP170007,HTB170007,HTS170007,,
4,48 NF,3,H2,HTT170008,HTP170008,HTB170008,HTS170008,,
4,36 NS,3,H2,HTT170008A,HTP170008A,HTB170008A,HTS170008A,,
5,40 NC,3,H2,HTT170009,HTP170009,HTB170009,HTS170009,,
5,44 NF,3,H2,HTT170010,HTP170010,HTB170010,HTS170010,,
6,32 NC,3,H3,HTT170011,HTP170011,HTB170011,HTS170011,,
6,40 NF,3,H2,HTT170012,HTP170012,HTB170012,HTS170012,,
8,32 NC,4,H3,HTT170013,HTP170013,HTB170013,HTS170013,,
8,36 NF,4,H2,HTT170014,HTP170014,HTB170014,HTS170014,,
10,24 NC,4,H3,HTT170015,HTP170015,HTB170015,HTS170015,,
10,32 NF,4,H3,HTT170016,HTP170016,HTB170016,HTS170016,,
B 12,24 NC,4,H3,HTT170017,HTP170017,HTB170017,HTS170017,,
12,28 NF,4,H3,HTT170018,HTP170018,HTB170018,HTS170018,,
"1/4\"",20 NC""",4,H3,HTT170030,HTP170030,HTB170030,HTS170030,,,
"1/4\"",28 NF""",4,H3,HTT170031,HTP170031,HTB170031,HTS170031,,,
"5/16\"",18 NC""",4,H3,HTT170032,HTP170032,HTB170032,HTS170032,,,
"5/16\"",24 NF""",4,H3,HTT170033,HTP170033,HTB170033,HTS170033,,,
"3/8\"",16 NC""",4,H3,HTT170034,HTP170034,HTB170034,HTS170034,,,
"3/8\"",24 NF""",4,H3,HTT170035,HTP170035,HTB170035,HTS170035,,,
"7/16\"",14 NC""",4,H3,HTT170036,HTP170036,HTB170036,HTS170036,,,
"7/16\"",20 NF""",4,H3,HTT170037,HTP170037,HTB170037,HTS170037,,,
"1/2\"",13 NC""",4,H3,HTT170038,HTP170038,HTB170038,HTS170038,,,
"1/2\"",20 NF""",4,H3,HTT170039,HTP170039,HTB170039,HTS170039,,,
"9/16\"",12 NC""",4,H3,HTT170040,HTP170040,HTB170040,HTS170040,,,
"9/16\"",18 NF""",4,H3,HTT170041,HTP170041,HTB170041,HTS170041,,,
"5/8\"",11 NC""",4,H3,HTT170042,HTP170042,HTB170042,HTS170042,,,
"5/8\"",18 NF""",4,H3,HTT170043,HTP170043,HTB170043,HTS170043,,,
"11/16\"",11 NS""",4,H3,HTT170044,HTP170044,HTB170044,HTS170044,,,
"11/16\"",16 NS""",4,H3,HTT170045,HTP170045,HTB170045,HTS170045,,,
"3/4\"",10 NC""",4,H3,HTT170046,HTP170046,HTB170046,HTS170046,,,
"3/4\"",16 NF""",4,H3,HTT170047,HTP170047,HTB170047,HTS170047,,,
"7/8\"",9 NC""",4,H4,HTT170048,HTP170048,HTB170048,HTS170048,,,
"7/8\"",14 NF""",4,H4,HTT170049,HTP170049,HTB170049,HTS170049,,,
"1\"",8 NC""",4,H4,HTT170050,HTP170050,HTB170050,HTS170050,,,
"1\"",12 NF""",4,H4,HTT170051,HTP170051,HTB170051,HTS170051,,,
"1\"",14 NS""",4,H4,HTT170052,HTP170052,HTB170052,HTS170052,,,
"1-1/8\"",7 NC""",4,H4,HTT170053,HTP170053,HTB170053,HTS170053,,,
"1-1/8\"",12 NF""",4,H4,HTT170054,HTP170054,HTB170054,HTS170054,,,
"1-1/4\"",7 NC""",4,H4,HTT170055,HTP170055,HTB170055,HTS170055,,,
"1-1/4\"",12 NF""",6,H4,HTT170056,HTP170056,HTB170056,HTS170056,,,
"1-3/8\"",6 NC""",4,H4,HTT170057,HTP170057,HTB170057,HTS170057,,,
"1-3/8\"",12 NF""",6,H4,HTT170058,HTP170058,HTB170058,HTS170058,,,
"1-1/2\"",6 NC""",4,H4,HTT170059,HTP170059,HTB170059,HTS170059,,,
"1-1/2\"",12 NF""",6,H4,HTT170060,HTP170060,HTB170060,HTS170060,,,
