SIZE,NC,NF,NS,FLUTES,LIMITS,TAPER,PLUG,BOTTOM,SET
0,80 NF,2,H1,HTT270000,HTP270000,HTB270000,HTS270000,,
1,64 NC,2,H1,HTT270001,HTP270001,HTB270001,HTS270001,,
1,72 NF,2,H1,HTT270002,HTP270002,HTB270002,HTS270002,,
2,56 NC,3,H2,HTT270003,HTP270003,HTB270003,HTS270003,,
2,64 NF,3,H2,HTT270004,HTP270004,HTB270004,HTS270004,,
3,48 NC,3,H2,HTT270005,HTP270005,HTB270005,HTS270005,,
3,56 NF,3,H2,HTT270006,HTP270006,HTB270006,HTS270006,,
4,40 NC,3,H2,HTT270007,HTP270007,HTB270007,HTS270007,,
4,48 NF,3,H2,HTT270008,HTP270008,HTB270008,HTS270008,,
5,40 NC,3,H2,HTT270009,HTP270009,HTB270009,HTS270009,,
5,44 NF,3,H2,HTT270010,HTP270010,HTB270010,HTS270010,,
6,32 NC,3,H3,HTT270011,HTP270011,HTB270011,HTS270011,,
6,40 NF,3,H2,HTT270012,HTP270012,HTB270012,HTS270012,,
8,32 NC,4,H3,HTT270013,HTP270013,HTB270013,HTS270013,,
8,36 NF,4,H2,HTT270014,HTP270014,HTB270014,HTS270014,,
10,24 NC,4,H3,HTT270015,HTP270015,HTB270015,HTS270015,,
10,32 NF,4,H3,HTT270016,HTP270016,HTB270016,HTS270016,,
12,24 NC,4,H3,HTT270017,HTP270017,HTB270017,HTS270017,,
12,28 NF,4,H3,HTT270018,HTP270018,HTB270018,HTS270018,,
"1/4""",20 NC,4,H3,HTT270030,HTP270030,HTB270030,HTS270030,,
"1/4""",28 NF,4,H3,HTT270031,HTP270031,HTB270031,HTS270031,,
"5/16""",18 NC,4,H3,HTT270032,HTP270032,HTB270032,HTS270032,,
"5/16""",24 NF,4,H3,HTT270033,HTP270033,HTB270033,HTS270033,,
"3/8""",16 NC,4,H3,HTT270034,HTP270034,HTB270034,HTS270034,,
"3/8""",24 NF,4,H3,HTT270035,HTP270035,HTB270035,HTS270035,,
"7/16""",14 NC,4,H3,HTT270036,HTP270036,HTB270036,HTS270036,,
"7/16""",20 NF,4,H3,HTT270037,HTP270037,HTB270037,HTS270037,,
"1/2""",13 NC,4,H3,HTT270038,HTP270038,HTB270038,HTS270038,,
"1/2""",20 NF,4,H3,HTT270039,HTP270039,HTB270039,HTS270039,,
"9/16""",12 NC,4,H3,HTT270040,HTP270040,HTB270040,HTS270040,,
"9/16""",18 NF,4,H3,HTT270041,HTP270041,HTB270041,HTS270041,,
"5/8""",11 NC,4,H3,HTT270042,HTP270042,HTB270042,HTS270042,,
"5/8""",18 NF,4,H3,HTT270043,HTP270043,HTB270043,HTS270043,,
"11/16""",11 NS,4,H3,HTT270044,HTP270044,HTB270044,HTS270044,,
"11/16""",16 NS,4,H3,HTT270045,HTP270045,HTB270045,HTS270045,,
"3/4""",10 NC,4,H3,HTT270046,HTP270046,HTB270046,HTS270046,,
"3/4""",16 NF,4,H3,HTT270047,HTP270047,HTB270047,HTS270047,,
"7/8""",9 NC,4,H4,HTT270048,HTP270048,HTB270048,HTS270048,,
"7/8""",14 NF,4,H4,HTT270049,HTP270049,HTB270049,HTS270049,,
"1""",8 NC,4,H4,HTT270050,HTP270050,HTB270050,HTS270050,,
"1""",12 NF,4,H4,HTT270051,HTP270051,HTB270051,HTS270051,,
"1""",14 NS,4,H4,HTT270052,HTP270052,HTB270052,HTS270052,,
"1-1/8""",7 NC,4,H4,HTT270053,HTP270053,HTB270053,HTS270053,,
"1-1/8""",12 NF,4,H4,HTT270054,HTP270054,HTB270054,HTS270054,,
"1-1/4""",7 NC,4,H4,HTT270055,HTP270055,HTB270055,HTS270055,,
"1-1/4""",12 NF,4,H4,HTT270056,HTP270056,HTB270056,HTS270056,,
"1-3/8""",6 NC,4,H4,HTT270057,HTP270057,HTB270057,HTS270057,,
"1-3/8""",12 NF,6,H4,HTT270058,HTP270058,HTB270058,HTS270058,,
"1-1/2""",6 NC,4,H4,HTT270059,HTP270059,HTB270059,HTS270059,,
"1-1/2""",12 NF,6,H4,HTT270060,HTP270060,HTB270060,HTS270060,,
