SIZE,NC,NF,NS,FLUTES,LIMITS,TAPER,PLUG,BOTTOM,SET OF 3
1 64,NC,2,H1,HTT80001,HTP80001,HTB80001,HTS80001,,
1 72,NF,2,H1,HTT80002,HTP80002,HTB80002,HTS80002,,
2 56,NC,3,H2,HTT80003,HTP80003,HTB80003,HTS80003,,
2 64,NF,3,H2,HTT80004,HTP80004,HTB80004,HTS80004,,
3 48,NC,3,H2,HTT80005,HTP80005,HTB80005,HTS80005,,
3 56,NF,3,H2,HTT80006,HTP80006,HTB80006,HTS80006,,
4 40,NC,3,H2,HTT80007,HTP80007,HTB80007,HTS80007,,
4 48,NF,3,H2,HTT80008,HTP80008,HTB80008,HTS80008,,
4 36,NS,3,H2,HTT80008A,HTP80008A,HTB80008A,HTS80008A,,
5 40,NC,3,H2,HTT80009,HTP80009,HTB80009,HTS80009,,
5 44,NF,3,H2,HTT80010,HTP80010,HTB80010,HTS80010,,
6 32,NC,3,H3,HTT80011,HTP80011,HTB80011,HTS80011,,
6 40,NF,3,H2,HTT80012,HTP80012,HTB80012,HTS80012,,
8 32,NC,4,H3,HTT80013,HTP80013,HTB80013,HTS80013,,
8 36,NF,4,H2,HTT80014,HTP80014,HTB80014,HTS80014,,
10 24,NC,4,H3,HTT80015,HTP80015,HTB80015,HTS80015,,
10 32,NF,4,H3,HTT80016,HTP80016,HTB80016,HTS80016,,
B 12 24,NC,4,H3,HTT80017,HTP80017,HTB80017,HTS80017,,
12 28,NF,4,H3,HTT80018,HTP80018,HTB80018,HTS80018,,
"1/4\ 20""",NC,4,H3,HTT80030,HTP80030,HTB80030,HTS80030,,
"1/4\ 28""",NF,4,H3,HTT80031,HTP80031,HTB80031,HTS80031,,
"5/16\ 18""",NC,4,H3,HTT80032,HTP80032,HTB80032,HTS80032,,
"5/16\ 24""",NF,4,H3,HTT80033,HTP80033,HTB80033,HTS80033,,
"3/8\ 16""",NC,4,H3,HTT80034,HTP80034,HTB80034,HTS80034,,
"3/8\ 24""",NF,4,H3,HTT80035,HTP80035,HTB80035,HTS80035,,
"7/16\ 14""",NC,4,H3,HTT80036,HTP80036,HTB80036,HTS80036,,
"7/16\ 20""",NF,4,H3,HTT80037,HTP80037,HTB80037,HTS80037,,
"1/2\ 13""",NC,4,H3,HTT80038,HTP80038,HTB80038,HTS80038,,
"1/2\ 20""",NF,4,H3,HTT80039,HTP80039,HTB80039,HTS80039,,
"9/16\ 12""",NC,4,H3,HTT80040,HTP80040,HTB80040,HTS80040,,
"9/16\ 18""",NF,4,H3,HTT80041,HTP80041,HTB80041,HTS80041,,
"5/8\ 11""",NC,4,H3,HTT80042,HTP80042,HTB80042,HTS80042,,
"5/8\ 18""",NF,4,H3,HTT80043,HTP80043,HTB80043,HTS80043,,
"11/16\ 11""",NS,4,H3,HTT80044,HTP80044,HTB80044,HTS80044,,
"11/16\ 16""",NS,4,H3,HTT80045,HTP80045,HTB80045,HTS80045,,
"3/4\ 10""",NC,4,H3,HTT80046,HTP80046,HTB80046,HTS80046,,
"3/4\ 16""",NF,4,H3,HTT80047,HTP80047,HTB80047,HTS80047,,
"7/8\ 9""",NC,4,H4,HTT80048,HTP80048,HTB80048,HTS80048,,
"7/8\ 14""",NF,4,H4,HTT80049,HTP80049,HTB80049,HTS80049,,
"1\ 8""",NC,4,H4,HTT80050,HTP80050,HTB80050,HTS80050,,
"1\ 12""",NF,4,H4,HTT80051,HTP80051,HTB80051,HTS80051,,
"1\ 14""",NS,4,H4,HTT80052,HTP80052,HTB80052,HTS80052,,
"1-1/8\ 7""",NC,4,H4,HTT80053,HTP80053,HTB80053,HTS80053,,
"1-1/8\ 12""",NF,4,H4,HTT80054,HTP80054,HTB80054,HTS80054,,
"1-1/4\ 7""",NC,4,H4,HTT80055,HTP80055,HTB80055,HTS80055,,
"1-1/4\ 12""",NF,4,H4,HTT80056,HTP80056,HTB80056,HTS80056,,
"1-3/8\ 6""",NC,4,H4,HTT80057,HTP80057,HTB80057,HTS80057,,
"1-3/8\ 12""",NF,4,H4,HTT80058,HTP80058,HTB80058,HTS80058,,
"1-1/2\ 6""",NC,4,H4,HTT80059,HTP80059,HTB80059,HTS80059,,
"1-1/2\ 12""",NF,4,H4,HTT80060,HTP80060,HTB80060,HTS80060,,
