TAP SIZE,TAP SIZE.1,TAP SIZE.2,TAP SIZE.3,TAP SIZE.4
x TPI,x TPI,x TPI,x TPI,x TPI
6-36,6-48,8-24,8-40,8-48
HTSP 71301,HTSP 71302,HTSP 71303,HTSP 71304,HTSP 71305
5/8-24,5/8-26,5/8-27,5/8-28,5/8-32
HTSP 71351,HTSP 71352,HTSP 71353,HTSP 71354,HTSP 71355
1-16,1-18,1-20,1-24,1-26
HTSP 71401,HTSP 71402,HTSP 71403,HTSP 71404,HTSP 71405
1 3/8-10,1 3/8-14,1 3/8-16,1 3/8-18,1 3/8-20
HTSP 71451,HTSP 71452,HTSP 71453,HTSP 71454,HTSP 71455
1 15/16-18,2-4 1/2,2-8,2-10,2-12
HTSP 71501,HTSP 71502,HTSP 71503,HTSP 71504,HTSP 71505
...,,,,
(omitted remaining rows),,,,
Note: There is only one table on the provided page, so there is only one table returned.,,,
