TAP NO.,PITCH,SIZE,FLUTES,LIMITS,TAPER,PLUG,BOTTOM,SET OF 3
2,0.4,3,D3,HSMTT171004,HSMTP171004,HSMTB171004,HSMTS171004,
2.2,0.45,3,D3,HSMTT171006,HSMTP171006,HSMTB171006,HSMTS171006,
2.5,0.45,3,D3,HSMTT171008,HSMTP171008,HSMTB171008,HSMTS171008,
3,0.5,3,D3,HSMTT171010,HSMTP171010,HSMTB171010,HSMTS171010,
3.5,0.6,4,D4,HSMTT171012,HSMTP171012,HSMTB171012,HSMTS171012,
4,0.7,4,D4,HSMTT171014,HSMTP171014,HSMTB171014,HSMTS171014,
4.5,0.75,4,D4,HSMTT171015,HSMTP171015,HSMTB171015,HSMTS171015,
5,0.8,4,D4,HSMTT171016,HSMTP171016,HSMTB171016,HSMTS171016,
6,1.0,4,D5,HSMTT171020,HSMTP171020,HSMTB171020,HSMTS171020,
7,1.0,4,D5,HSMTT171023,HSMTP171023,HSMTB171023,HSMTS171023,
8,1.25,4,D5,HSMTT171024,HSMTP171024,HSMTB171024,HSMTS171024,
8,1.0,4,D5,HSMTT171025,HSMTP171025,HSMTB171025,HSMTS171025,
10,1.5,4,D6,HSMTT171027,HSMTP171027,HSMTB171027,HSMTS171027,
10,1.25,4,D5,HSMTT171028,HSMTP171028,HSMTB171028,HSMTS171028,
12,1.75,4,D6,HSMTT171031,HSMTP171031,HSMTB171031,HSMTS171031,
12,1.25,4,D6,HSMTT171033,HSMTP171033,HSMTB171033,HSMTS171033,
B 14,2.0,4,D7,HSMTT171034,HSMTP171034,HSMTB171034,HSMTS171034,
14,1.5,4,D6,HSMTT171035,HSMTP171035,HSMTB171035,HSMTS171035,
16,2.0,4,D7,HSMTT171037,HSMTP171037,HSMTB171037,HSMTS171037,
16,1.5,4,D6,HSMTT171038,HSMTP171038,HSMTB171038,HSMTS171038,
18,2.5,4,D7,HSMTT171039,HSMTP171039,HSMTB171039,HSMTS171039,
18,1.5,4,D6,HSMTT171042,HSMTP171042,HSMTB171042,HSMTS171042,
20,2.5,4,D7,HSMTT171043,HSMTP171043,HSMTB171043,HSMTS171043,
20,1.5,4,D6,HSMTT171044,HSMTP171044,HSMTB171044,HSMTS171044,
22,2.5,4,D7,HSMTT171047,HSMTP171047,HSMTB171047,HSMTS171047,
22,1.5,4,D6,HSMTT171048,HSMTP171048,HSMTB171048,HSMTS171048,
24,3.0,4,D8,HSMTT171049,HSMTP171049,HSMTB171049,HSMTS171049,
24,2.0,4,D7,HSMTT171050,HSMTP171050,HSMTB171050,HSMTS171050,
27,3.0,4,D8,HSMTT171052,HSMTP171052,HSMTB171052,HSMTS171052,
27,2.0,4,D7,HSMTT171053,HSMTP171053,HSMTB171053,HSMTS171053,
30,3.5,4,D9,HSMTT171054,HSMTP171054,HSMTB171054,HSMTS171054,
30,2.0,4,D7,HSMTT171055,HSMTP171055,HSMTB171055,HSMTS171055,
33,3.5,4,D9,HSMTT171058,HSMTP171058,HSMTB171058,HSMTS171058,
33,2.0,4,D7,HSMTT171059,HSMTP171059,HSMTB171059,HSMTS171059,
36,4.0,4,D9,HSMTT171060,HSMTP171060,HSMTB171060,HSMTS171060,
