TAP NO.,OF GRIND,PITCH,SIZE,FLUTES,LIMITS,TAPER,PLUG,BOTTOM,SET OF 3
2.0,0.4,3,D3,HSMTT271004,HSMTP271004,HSMTB271004,HSMTS271004,,
2.2,0.45,3,D3,HSMTT271006,HSMTP271006,HSMTB271006,HSMTS271006,,
2.3,0.4,3,D3,HSMTT271007,HSMTP271007,HSMTB271007,HSMTS271007,,
2.5,0.45,3,D3,HSMTT271008,HSMTP271008,HSMTB271008,HSMTS271008,,
3.0,0.5,3,D3,HSMTT271010,HSMTP271010,HSMTB271010,HSMTS271010,,
3.5,0.6,3,D4,HSMTT271012,HSMTP271012,HSMTB271012,HSMTS271012,,
4.0,0.5,4,D3,HSMTT271013,HSMTP271013,HSMTB271013,HSMTS271013,,
4.0,0.7,4,D4,HSMTT271014,HSMTP271014,HSMTB271014,HSMTS271014,,
4.5,0.75,4,D4,HSMTT271015,HSMTP271015,HSMTB271015,HSMTS271015,,
5.0,0.8,4,D4,HSMTT271016,HSMTP271016,HSMTB271016,HSMTS271016,,
5.0,0.9,4,D4,HSMTT271017,HSMTP271017,HSMTB271017,HSMTS271017,,
5.0,0.5,4,D3,HSMTT271018,HSMTP271018,HSMTB271018,HSMTS271018,,
6.0,1.0,4,D5,HSMTT271020,HSMTP271020,HSMTB271020,HSMTS271020,,
6.0,0.75,4,D3,HSMTT271021,HSMTP271021,HSMTB271021,HSMTS271021,,
7.0,1.0,4,D5,HSMTT271023,HSMTP271023,HSMTB271023,HSMTS271023,,
8.0,1.25,4,D5,HSMTT271024,HSMTP271024,HSMTB271024,HSMTS271024,,
8.0,1.0,4,D5,HSMTT271025,HSMTP271025,HSMTB271025,HSMTS271025,,
9.0,1.25,4,D5,HSMTT271026,HSMTP271026,HSMTB271026,HSMTS271026,B,
10.0,1.5,4,D6,HSMTT271027,HSMTP271027,HSMTB271027,HSMTS271027,,
10.0,1.25,4,D5,HSMTT271028,HSMTP271028,HSMTB271028,HSMTS271028,,
10.0,1.0,4,D5,HSMTT271029,HSMTP271029,HSMTB271029,HSMTS271029,,
11.0,1.5,4,D6,HSMTT271030,HSMTP271030,HSMTB271030,HSMTS271030,,
12.0,1.75,4,D6,HSMTT271031,HSMTP271031,HSMTB271031,HSMTS271031,,
12.0,1.5,4,D6,HSMTT271032,HSMTP271032,HSMTB271032,HSMTS271032,,
12.0,1.25,4,D6,HSMTT271033,HSMTP271033,HSMTB271033,HSMTS271033,,
14.0,2.0,4,D7,HSMTT271034,HSMTP271034,HSMTB271034,HSMTS271034,,
14.0,1.5,4,D6,HSMTT271035,HSMTP271035,HSMTB271035,HSMTS271035,,
14.0,1.25,4,D5,HSMTT271036,HSMTP271036,HSMTB271036,HSMTS271036,,
16.0,2.0,4,D7,HSMTT271037,HSMTP271037,HSMTB271037,HSMTS271037,,
16.0,1.5,4,D6,HSMTT271038,HSMTP271038,HSMTB271038,HSMTS271038,,
18.0,2.5,4,D7,HSMTT271039,HSMTP271039,HSMTB271039,HSMTS271039,,
18.0,2.0,4,D7,HSMTT271040,HSMTP271040,HSMTB271040,HSMTS271040,,
18.0,1.0,4,D5,HSMTT271041,HSMTP271041,HSMTB271041,HSMTS271041,,
18.0,1.5,4,D6,HSMTT271042,HSMTP271042,HSMTB271042,HSMTS271042,,
20.0,2.5,4,D7,HSMTT271043,HSMTP271043,HSMTB271043,HSMTS271043,,
20.0,1.5,4,D6,HSMTT271044,HSMTP271044,HSMTB271044,HSMTS271044,,
20.0,1.0,4,D5,HSMTT271045,HSMTP271045,HSMTB271045,HSMTS271045,,
20.0,2.0,4,D7,HSMTT271046,HSMTP271046,HSMTB271046,HSMTS271046,,
22.0,2.5,4,D7,HSMTT271047,HSMTP271047,HSMTB271047,HSMTS271047,,
22.0,1.5,4,D6,HSMTT271048,HSMTP271048,HSMTB271048,HSMTS271048,,
24.0,3.0,4,D8,HSMTT271049,HSMTP271049,HSMTB271049,HSMTS271049,,
24.0,2.0,4,D7,HSMTT271050,HSMTP271050,HSMTB271050,HSMTS271050,,
24.0,1.5,4,D6,HSMTT271051,HSMTP271051,HSMTB271051,HSMTS271051,,
27.0,3.0,4,D8,HSMTT271052,HSMTP271052,HSMTB271052,HSMTS271052,,
27.0,2.0,4,D7,HSMTT271053,HSMTP271053,HSMTB271053,HSMTS271053,,
30.0,3.5,4,D9,HSMTT271054,HSMTP271054,HSMTB271054,HSMTS271054,,
30.0,2.0,4,D7,HSMTT271055,HSMTP271055,HSMTB271055,HSMTS271055,,
30.0,1.5,4,D6,HSMTT271056,HSMTP271056,HSMTB271056,HSMTS271056,,
32.0,2.0,4,D7,HSMTT271057,HSMTP271057,HSMTB271057,HSMTS271057,,
33.0,3.5,4,D9,HSMTT271058,HSMTP271058,HSMTB271058,HSMTS271058,,
33.0,2.0,4,D7,HSMTT271059,HSMTP271059,HSMTB271059,HSMTS271059,,
36.0,4.0,4,D9,HSMTT271060,HSMTP271060,HSMTB271060,HSMTS271060,,
