SIZE,PITCH,FLUTES,LIMITS,PLUG,BOTTOM,TAP NO.,STOCK #,BOTTOMING TAP NO.,BOTTOMING STOCK #
3,D3,HSMTP72008,HSMTB72008,2,0.45,3.0,D3,HSMTP72009,HSMTB72009
3,D3,HSMTP72011,HSMTB72011,2.6,0.35,3.0,D3,HSMTP72012,HSMTB72012
3,D3,HSMTP72013,HSMTB72013,3,0.35,3.0,D3,HSMTP72014,HSMTB72014
3,D4,HSMTP72015,HSMTB72015,3.5,0.5,3.0,D3,HSMTP72016,HSMTB72016
4,D3,HSMTP72018,HSMTB72018,5,0.75,4.0,D4,HSMTP72020,HSMTB72020
4,D4,HSMTP72022,HSMTB72022,5.5,0.9,4.0,D4,HSMTP72023,HSMTB72023
4,D3,HSMTP72024,HSMTB72024,7,0.5,4.0,D4,HSMTP72026,HSMTB72026
4,D5,HSMTP72027,HSMTB72027,7,1.25,4.0,D5,HSMTP72028,HSMTB72028
4,D4,HSMTP72029,HSMTB72029,8,0.75,4.0,D5,HSMTP72030,HSMTB72030
4,D6,HSMTP72031,HSMTB72031,B 9,0.5,4.0,D4,HSMTP72032,HSMTB72032
4,D5,HSMTP72033,HSMTB72033,9,1.0,4.0,D5,HSMTP72034,HSMTB72034
4,D4,HSMTP72036,HSMTB72036,10,0.75,4.0,D5,HSMTP72037,HSMTB72037
4,D4,HSMTP72039,HSMTB72039,11,0.75,4.0,D5,HSMTP72040,HSMTB72040
4,D5,HSMTP72041,HSMTB72041,11,1.25,4.0,D5,HSMTP72042,HSMTB72042
4,D4,HSMTP72044,HSMTB72044,12,0.75,4.0,D5,HSMTP72045,HSMTB72045
4,D5,HSMTP72046,HSMTB72046,13,0.5,4.0,D4,HSMTP72048,HSMTB72048
4,D5,HSMTP72049,HSMTB72049,13,1.25,4.0,D5,HSMTP72050,HSMTB72050
4,D6,HSMTP72051,HSMTB72051,13,2.0,4.0,D7,HSMTP72052,HSMTB72052
4,D4,HSMTP72053,HSMTB72053,14,0.75,4.0,D5,HSMTP72054,HSMTB72054
4,D5,HSMTP72055,HSMTB72055,14,1.75,4.0,D6,HSMTP72057,HSMTB72057
4,D4,HSMTP72058,HSMTB72058,15,1.5,4.0,D6,HSMTP72059,HSMTB72059
4,D5,HSMTP72060,HSMTB72060,15,2.0,4.0,D7,HSMTP72061,HSMTB72061
4,D4,HSMTP72062,HSMTB72062,16,0.75,4.0,D5,HSMTP72063,HSMTB72063
4,D5,HSMTP72064,HSMTB72064,16,1.25,4.0,D5,HSMTP72065,HSMTB72065
4,D4,HSMTP72066,HSMTB72066,17,1.0,4.0,D5,HSMTP72067,HSMTB72067
4,D6,HSMTP72068,HSMTB72068,17,2.0,4.0,D7,HSMTP72069,HSMTB72069
4,D4,HSMTP72070,HSMTB72070,18,1.25,4.0,D5,HSMTP72072,HSMTB72072
4,D6,HSMTP72073,HSMTB72073,19,0.5,4.0,D4,HSMTP72075,HSMTB72075
4,D5,HSMTP72076,HSMTB72076,19,1.5,4.0,D6,HSMTP72077,HSMTB72077
4,D7,HSMTP72078,HSMTB72078,20,1.25,4.0,D5,HSMTP72080,HSMTB72080
4,D5,HSMTP72082,HSMTB72082,21,1.5,4.0,D6,HSMTP72083,HSMTB72083
4,D7,HSMTP72084,HSMTB72084,21,2.5,4.0,D7,HSMTP72085,HSMTB72085
4,D5,HSMTP72086,HSMTB72086,22,2.0,4.0,D7,HSMTP72087,HSMTB72087
4,D5,HSMTP72088,HSMTB72088,23,1.5,4.0,D6,HSMTP72089,HSMTB72089
4,D7,HSMTP72090,HSMTB72090,23,2.5,4.0,D7,HSMTP72091,HSMTB72091
4,D8,HSMTP72092,HSMTB72092,24,1.0,4.0,D5,HSMTP72093,HSMTB72093
4,D5,HSMTP72094,HSMTB72094,25,1.5,4.0,D6,HSMTP72095,HSMTB72095
4,D7,HSMTP72096,HSMTB72096,25,3.0,4.0,D8,HSMTP72097,HSMTB72097
4,D6,HSMTP72098,HSMTB72098,26,2.0,4.0,D7,HSMTP72099,HSMTB72099
4,D6,HSMTP72100,HSMTB72100,27,2.5,4.0,D8,HSMTP72101,HSMTB72101
4,D6,HSMTP72102,HSMTB72102,28,2.0,4.0,D7,HSMTP72103,HSMTB72103
4,D6,HSMTP72104,HSMTB72104,30,2.5,4.0,D8,HSMTP72106,HSMTB72106
4,D8,HSMTP72107,HSMTB72107,32,1.5,4.0,D6,HSMTP72108,HSMTB72108
4,D6,HSMTP72110,HSMTB72110,34,1.5,6.0,D6,HSMTP72112,HSMTB72112
6,D6,HSMTP72113,HSMTB72113,38,1.5,6.0,D6,HSMTP72114,HSMTB72114
6,D6,HSMTP72115,HSMTB72115,40,1.5,6.0,D6,HSMTP72116,HSMTB72116
6,D6,HSMTP72117,HSMTB72117,42,3.0,6.0,D8,HSMTP72118,HSMTB72118
6,D10,HSMTP72119,HSMTB72119,45,1.5,6.0,D6,HSMTP72120,HSMTB72120
6,D8,HSMTP72121,HSMTB72121,45,4.5,6.0,D10,HSMTP72122,HSMTB72122
8,D6,HSMTP72123,HSMTB72123,48,3.0,6.0,D8,HSMTP72124,HSMTB72124
6,D10,HSMTP72125,HSMTB72125,48,5.0,6.0,D10,HSMTP72126,HSMTB72126
8,D6,HSMTP72127,HSMTB72127,50,3.0,6.0,D8,HSMTP72128,HSMTB72128
8,D6,HSMTP72129,HSMTB72129,52,3.0,6.0,D8,HSMTP72130,HSMTB72130
6,D10,HSMTP72131,HSMTB72131,,,,,,
