SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,ECO PRO STOCK #
A,0.234,2-5/8,3-7/8,J260201
B,0.238,2-3/4,4,J260202
C,0.242,2-3/4,4,J260203
D,0.246,2-3/4,4,J260204
E,0.25,2-3/4,4,J260205
F,0.257,2-7/8,4-1/8,J260206
G,0.261,2-7/8,4-1/8,J260207
H,0.266,2-7/8,4-1/8,J260208
I,0.272,2-7/8,4-1/8,J260209
J,0.277,2-7/8,4-1/8,J260210
K,0.281,2-15/16,4-1/4,J260211
L,0.29,2-15/16,4-1/4,J260212
M,0.295,3-1/16,4-3/8,J260213
N,0.302,3-1/16,4-3/8,J260214
O,0.316,3-3/16,4-1/2,J260215
P,0.323,3-5/16,4-5/8,J260216
Q,0.332,3-7/16,4-3/4,J260217
R,0.339,3-7/16,4-3/4,J260218
S,0.348,3-1/2,4-7/8,J260219
T,0.358,3-1/2,4-7/8,J260220
U,0.368,3-5/8,5,J260221
V,0.377,3-5/8,5,J260222
W,0.386,3-3/4,5-1/8,J260223
X,0.397,3-3/4,5-1/8,J260224
Y,0.404,3-7/8,5-1/4,J260225
Z,0.413,3-7/8,5-1/4,J260226
