TAP SIZE,NO. OF FLUTES,GRIND STOCK #,X PITCH,LIMITS,TAPER,PLUG BOTTOM
"1-1/8\"",8""",4,HTSPT71419,HTSPP71419,HTSPB71419,,
"1-1/4\"",8""",4,HTSPT71435,HTSPP71435,HTSPB71435,,
"1-3/8\"",8""",4,HTSPT71450,HTSPP71450,HTSPB71450,,
"1-1/2\"",8""",6,HTSPT71461,HTSPP71461,HTSPB71461,,
"1-5/8\"",8""",6,HTSPT71474,HTSPP71474,HTSPB71474,,
"1-3/4\"",8""",6,HTSPT71485,HTSPP71485,HTSPB71485,,
"1-7/8\"",8""",6,HTSPT71494,HTSPP71494,HTSPB71494,,
"2\"",8""",6,HTSPT71503,HTSPP71503,HTSPB71503,,
"2-1/8\"",8""",6,HTSPT71510,HTSPP71510,HTSPB71510,,
"2-1/4\"",8""",6,HTSPT71513,HTSPP71513,HTSPB71513,,
"2-3/8\"",8""",6,HTSPT71518,HTSPP71518,HTSPB71518,,
"2-1/2\"",8""",8,HTSPT71523,HTSPP71523,HTSPB71523,,
"2-5/8\"",8""",8,HTSPT71527,HTSPP71527,HTSPB71527,,
"2-3/4\"",8""",8,HTSPT71530,HTSPP71530,HTSPB71530,,
"2-7/8\"",8""",8,HTSPT71533,HTSPP71533,HTSPB71533,,
"3\"",8""",8,HTSPT71536,HTSPP71536,HTSPB71536,,
"3-1/4\"",8""",8,HTSPT71540,HTSPP71540,HTSPB71540,,
"3-1/2\"",8""",8,HTSPT71543,HTSPP71543,HTSPB71543,,
"3-3/4\"",8""",8,HTSPT71545,HTSPP71545,HTSPB71545,,
"4\"",8""",8,HTSPT71547,HTSPP71547,HTSPB71547,,
