TAP NO.,OF GRIND,STOCK #,SIZE,TPI,FLUTES,LIMITS,TAPER,PLUG,BOTTOM
6,32,3,H3,HTLT71111,HTLP71111,HTLB71111,MACHINE SCREW SIZES,,
8,32,4,H3,HTLT71113,HTLP71113,HTLB71113,MACHINE SCREW SIZES,,
10,24,4,H3,HTLT71115,HTLP71115,HTLB71115,MACHINE SCREW SIZES,,
10,32,4,H3,HTLT71116,HTLP71116,HTLB71116,MACHINE SCREW SIZES,,
"1/4\"",20""",4,H3,HTLT71120,HTLP71120,HTLB71120,FRACTIONAL,,,
"1/4\"",28""",4,H3,HTLT71121,HTLP71121,HTLB71121,FRACTIONAL,,,
"5/16\"",18""",4,H3,HTLT71122,HTLP71122,HTLB71122,FRACTIONAL,,,
"5/16\"",24""",4,H3,HTLT71123,HTLP71123,HTLB71123,FRACTIONAL,,,
"3/8\"",16""",4,H3,HTLT71124,HTLP71124,HTLB71124,FRACTIONAL,,,
"3/8\"",24""",4,H3,HTLT71125,HTLP71125,HTLB71125,FRACTIONAL,,,
"7/16\"",14""",4,H3,HTLT71126,HTLP71126,HTLB71126,FRACTIONAL,,,
"7/16\"",20""",4,H3,HTLT71127,HTLP71127,HTLB71127,FRACTIONAL,,,
"1/2\"",13""",4,H3,HTLT71128,HTLP71128,HTLB71128,FRACTIONAL,,,
"1/2\"",20""",4,H3,HTLT71129,HTLP71129,HTLB71129,FRACTIONAL,,,
"9/16\"",12""",4,H3,HTLT71130,HTLP71130,HTLB71130,FRACTIONAL,,,
"9/16\"",18""",4,H3,HTLT71131,HTLP71131,HTLB71131,FRACTIONAL,,,
"B 5/8\"",11""",4,H3,HTLT71132,HTLP71132,HTLB71132,FRACTIONAL,,,
"5/8\"",18""",4,H3,HTLT71133,HTLP71133,HTLB71133,FRACTIONAL,,,
"3/4\"",10""",4,H3,HTLT71134,HTLP71134,HTLB71134,FRACTIONAL,,,
"3/4\"",16""",4,H3,HTLT71135,HTLP71135,HTLB71135,FRACTIONAL,,,
"7/8\"",9""",4,H4,HTLT71136,HTLP71136,HTLB71136,FRACTIONAL,,,
"7/8\"",14""",4,H4,HTLT71137,HTLP71137,HTLB71137,FRACTIONAL,,,
"1\"",8""",4,H4,HTLT71138,HTLP71138,HTLB71138,FRACTIONAL,,,
"1\"",12""",4,H4,HTLT71139,HTLP71139,HTLB71139,FRACTIONAL,,,
"1\"",14""",4,H4,HTLT71140,HTLP71140,HTLB71140,FRACTIONAL,,,
"1-1/8\"",7""",4,H4,HTLT71141,HTLP71141,HTLB71141,FRACTIONAL,,,
"1-1/8\"",12""",4,H4,HTLT71142,HTLP71142,HTLB71142,FRACTIONAL,,,
"1-1/4\"",7""",4,H4,HTLT71143,HTLP71143,HTLB71143,FRACTIONAL,,,
"1-1/4\"",12""",6,H4,HTLT71144,HTLP71144,HTLB71144,FRACTIONAL,,,
"1-3/8\"",6""",4,H4,HTLT71145,HTLP71145,HTLB71145,FRACTIONAL,,,
"1-3/8\"",12""",6,H4,HTLT71146,HTLP71146,HTLB71146,FRACTIONAL,,,
"1-1/2\"",6""",4,H4,HTLT71147,HTLP71147,HTLB71147,FRACTIONAL,,,
"1-1/2\"",12""",6,H4,HTLT71148,HTLP71148,HTLB71148,FRACTIONAL,,,
