TAP SIZE,NC / NF,OAL,STOCK #
6-32 NC,"1-5/8\"",HST70321""",,
8-32 NC,"1-5/8\"",HST70322""",,
10-24 NC,"1-5/8\"",HST70323""",,
"1/4\-20 NC""","1-5/8\"",HST70324""",,
"5/16\-18 NC""","1-5/8\"",HST70325""",,
"3/8\-16 NC""","1-5/8\"",HST70326""",,
6-40 NF,"1-5/8\"",HST70341""",,
8-36 NF,"1-5/8\"",HST70342""",,
10-32 NF,"1-5/8\"",HST70343""",,
"1/4\-28 NF""","1-5/8\"",HST70344""",,
"5/16\-24 NF""","1-5/8\"",HST70345""",,
"3/8\-24 NF""","1-5/8\"",HST70346""",,
4-0.70,"1-5/8\"",HST70351""",,
5-0.80,"1-5/8\"",HST70352""",,
6-1.00,"1-5/8\"",HST70353""",,
8-1.25,"1-5/8\"",HST70354""",,
10-1.25,"1-5/8\"",HST70355""",,
