Metric,SIZE,PIT CH,OF FIT,FLUTES,LIMITS,STOCK #
3.5,0.6,6H,3,D4,HTLM81111,
4.0,0.7,6H,4,D4,HTLM81113,
4.5,0.75,6H,4,D4,HTLM81115,
5.0,0.8,6H,4,D4,HTLM81116,
6.0,1.0,6H,4,D5,HTLM81120,
7.0,1.0,6H,4,D5,HTLM81123,
8.0,1.25,6H,4,D5,HTLM81124,
8.0,1.0,6H,4,D5,HTLM81125,
10.0,1.5,6H,4,D6,HTLM81127,
10.0,1.25,6H,4,D5,HTLM81128,
12.0,1.75,6H,4,D6,HTLM81131,
12.0,1.25,6H,4,D5,HTLM81133,
14.0,2.0,6H,4,D7,HTLM81134,
14.0,1.5,6H,4,D6,HTLM81135,
16.0,2.0,6H,4,D7,HTLM81137,
16.0,1.5,6H,4,D6,HTLM81138,
18.0,2.5,6H,4,D7,HTLM81139,
18.0,1.5,6H,4,D6,HTLM81142,
20.0,2.5,6H,4,D7,HTLM81143,
20.0,1.5,6H,4,D6,HTLM81144,
22.0,2.5,6H,4,D7,HTLM81147 B,
22.0,1.5,6H,4,D6,HTLM81148,
24.0,3.0,6H,4,D8,HTLM81149,
24.0,2.0,6H,4,D7,HTLM81150,
