TAP NO.,OF GRIND,STOCK #,SIZE,TP I,FLUTES,LIMITS,ALFA USA,ECO PRO,MACHINE SCREW SIZES,PLUG CHAMFER
0 80,2,H1,SPT170100,SPT270100,,,,,,
1 64,2,H1,SPT170101,SPT270101,,,,,,
1 72,2,H1,SPT170102,SPT270102,,,,,,
2 56,2,H2,SPT170103,SPT270103,,,,,,
2 64,2,H2,SPT170104,SPT270104,,,,,,
3 48,2,H2,SPT170105,SPT270105,,,,,,
3 56,2,H2,SPT170106,SPT270106,,,,,,
4 40,2,H2,SPT170107,SPT270107,,,,,,
4 48,2,H2,SPT170108,SPT270108,,,,,,
4*36,2,H2,SPT170108A,SPT270108A,,,,,,
5 40,2,H2,SPT170109,SPT270109,,,,,,
B 5 44,2,H2,SPT170110,SPT270110,,,,,,
6 32,2,H3,SPT170111,SPT270111,,,,,,
6 40,2,H2,SPT170112,SPT270112,,,,,,
8 32,2,H3,SPT170113,SPT270113,,,,,,
8 36,2,H2,SPT170114,SPT270114,,,,,,
10 24,2,H3,SPT170115,SPT270115,,,,,,
10 32,2,H3,SPT170116,SPT270116,,,,,,
12 24,2,H3,SPT170117,SPT270117,,,,,,
12 28,2,H3,SPT170118,SPT270118,,,,,,
"1/4""",20,2,H3,SPT170128,SPT270128,,,,,
"1/4""",28,2,H3,SPT170129,SPT270129,,,,,
"5/16""",18,2,H3,SPT170130,SPT270130,,,,,
"5/16""",24,2,H3,SPT170131,SPT270131,,,,,
"3/8""",16,3,H3,SPT170132,SPT270132,,,,,
"3/8""",24,3,H3,SPT170133,SPT270133,,,,,
"7/16""",14,3,H3,SPT170134,SPT270134,,,,,
"7/16""",20,3,H3,SPT170135,SPT270135,,,,,
"1/2""",13,3,H3,SPT170136,SPT270136,,,,,
"1/2""",20,3,H3,SPT170137,SPT270137,,,,,
"9/16""",12,3,H3,SPT170138,SPT270138,,,,,
"9/16""",18,3,H3,SPT170139,SPT270139,,,,,
"5/8""",11,3,H3,SPT170140,SPT270140,,,,,
"5/8""",18,3,H3,SPT170141,SPT270141,,,,,
"3/4""",10,3,H3,SPT170142,SPT270142,,,,,
"3/4""",16,3,H3,SPT170143,SPT270143,,,,,
"7/8""",9,3,H4,SPT170144,SPT270144,,,,,
"7/8""",14,3,H4,SPT170145,SPT270145,,,,,
"1""",8,3,H4,SPT170146,SPT270146,,,,,
"1""",12,3,H4,SPT170147,SPT270147,,,,,
"1""",*14,3,H4,SPT170148,SPT270148,,,,,
