TAP NO.,OfSize,FLUTES,STOCK #,GRIND LIMITS,ALFA USA
4,40,2,H2 SPT170107TN,,
6,32,2,H3 SPT170111TN,,
8,32,2,H3 SPT170113TN,,
10,24,2,H3 SPT170115TN,,
10,32,2,H3 SPT170116TN,,
12,24,2,H3 SPT170117TN,,
"1/4""",20,2,H3 SPT170128TN,,
"1/4""",28,2,H3 SPT170129TN,,
"5/16""",18,2,H3 SPT170130TN,,
"5/16""",24,2,H3 SPT170131TN,,
"3/8""",16,3,H3 SPT170132TN,,
"3/8""",24,3,H3 SPT170133TN,,
"7/16""",14,3,H3 SPT170134TN,,
"7/16""",20,3,H3 SPT170135TN,,
"1/2""",13,3,H3 SPT170136TN,,
"1/2""",20,3,H3 SPT170137TN,,
"5/8""",11,3,H3 SPT170140TN,,
"5/8""",18,3,H3 SPT170141TN,,
"3/4""",10,3,H3 SPT170142TN,,
"3/4""",16,3,H3 SPT170143TN,,
