TAP NO.,SIZE,FLUTES,STOCK #,TAP PITCH D,NO. OF THREAD,FRACTIONAL SIZE LIMIT,ALFA USA,ECO PRO
20,2,SPTM170151,SPTM270151,1.6,0.35,3.0,2.0,5/16
28,2,SPTM170152,SPTM270152,1.8,0.35,3.0,2.0,3/8
18,2,SPTM170153,SPTM270153,2.0,0.4,3.0,2.0,7/16
24,2,SPTM170154,SPTM270154,2.2,0.45,3.0,2.0,7/16
16,3,SPTM170155,SPTM270155,2.5,0.45,3.0,2.0,1/2
14,3,SPTM170156,SPTM270156,3.0,0.5,3.0,2.0,5/8
13,3,SPTM170157,SPTM270157,3.5,0.6,4.0,2.0,11/16
20,3,SPTM170158,SPTM270158,4.0,0.7,4.0,2.0,3/4
11,4,SPTM170159,SPTM270159,4.5,0.75,4.0,2.0,7/8
18,4,SPTM170160,SPTM270160,5.0,0.8,4.0,2.0,7/8
10,4,SPTM170161,SPTM270161,6.0,1.0,5.0,2.0,1
12,5,SPTM170162,SPTM270162,6.3,1.0,5.0,2.0,1
14,5,SPTM170163,SPTM270163,7.0,1.0,5.0,2.0,1-1/8
12,5,SPTM170164,SPTM270164,8.0,1.25,5.0,2.0,1-1/8
10,5,SPTM170165,SPTM270165,8.0,1.0,5.0,2.0,1-1/8
10,6,SPTM170166,SPTM270166,10.0,1.5,6.0,3.0,1-1/4
12,5,SPTM170167,SPTM270167,10.0,1.25,5.0,3.0,1-1/4
12,6,SPTM170168,SPTM270168,12.0,1.75,6.0,3.0,1-21/32
10,5,SPTM170169,SPTM270169,12.0,1.25,5.0,3.0,1-21/32
10,6,SPTM170170,SPTM270170,14.0,2.0,7.0,3.0,1-21/32
12,6,SPTM170171,SPTM270171,14.0,1.5,6.0,3.0,1-21/32
10,7,SPTM170172,SPTM270172,16.0,2.0,7.0,3.0,1-13/16
12,6,SPTM170173,SPTM270173,16.0,1.5,6.0,3.0,1-13/16
10,7,SPTM170174,SPTM270174,18.0,2.5,7.0,4.0,1-13/16
12,6,SPTM170175,SPTM270175,20.0,2.5,7.0,3.0,2
12,6,SPTM270176,,,,,,
