TAP NO.,SIZE,FLUTES,LIMITS,STOCK #,TPI,CHAMFER
3,48,2,H2,SFTB170905,3.0,BOTTOMING
3,56,2,H2,SFTB170906,3.0,BOTTOMING
4,40,2,H2,SFTB170907,4.0,BOTTOMING
4,48,2,H2,SFTB170908,4.0,BOTTOMING
5,40,2,H2,SFTB170909,5.0,BOTTOMING
5,44,2,H2,SFTB170910,5.0,BOTTOMING
6,32,2,H3,SFTB170911,6.0,BOTTOMING
6,40,2,H2,SFTB170912,6.0,BOTTOMING
8,32,2-3,H3,SFTB170913,8.0,BOTTOMING
8,36,2-3,H3,SFTB170914,8.0,BOTTOMING
10,24,2-3,H3,SFTB170915,10.0,BOTTOMING
10,32,2-3,H3,SFTB170916,10.0,BOTTOMING
B 12,24,2-3,H3,SFTB170917,12.0,BOTTOMING
12,28,2-3,H3,SFTB170918,12.0,BOTTOMING
"1/4\"",20""",2-3,H3,SFTB170930,"1/4\"",BOTTOMING""",,
"1/4\"",28""",2-3,H3,SFTB170931,"1/4\"",BOTTOMING""",,
"5/16\"",18""",3,H3,SFTB170932,"5/16\"",BOTTOMING""",,
"5/16\"",24""",3,H3,SFTB170933,"5/16\"",BOTTOMING""",,
"3/8\"",16""",3,H3,SFTB170934,"3/8\"",BOTTOMING""",,
"3/8\"",24""",3,H3,SFTB170935,"3/8\"",BOTTOMING""",,
"7/16\"",14""",3-4,H3,SFTB170936,"7/16\"",BOTTOMING""",,
"7/16\"",20""",3-4,H3,SFTB170937,"7/16\"",BOTTOMING""",,
"1/2\"",13""",3-4,H3,SFTB170938,"1/2\"",BOTTOMING""",,
"1/2\"",20""",3-4,H3,SFTB170939,"1/2\"",BOTTOMING""",,
"9/16\"",12""",3-4,H3,SFTB170940,"9/16\"",BOTTOMING""",,
"9/16\"",18""",3-4,H3,SFTB170941,"9/16\"",BOTTOMING""",,
"5/8\"",11""",3-4,H3,SFTB170942,"5/8\"",BOTTOMING""",,
"5/8\"",18""",3-4,H3,SFTB170943,"5/8\"",BOTTOMING""",,
"3/4\"",10""",4,H3,SFTB170946,"3/4\"",BOTTOMING""",,
"3/4\"",16""",4,H3,SFTB170947,"3/4\"",BOTTOMING""",,
