TAP NO.,SIZE,FLUTES,LIMITS,STOCK #,TPI,CHAMFER
3,48,2,H2,SFTP170905,3.0,PLUG
3,56,2,H2,SFTP170906,3.0,PLUG
4,40,2,H2,SFTP170907,4.0,PLUG
4,48,2,H2,SFTP170908,4.0,PLUG
5,40,2,H2,SFTP170909,5.0,PLUG
5,44,2,H2,SFTP170910,5.0,PLUG
6,32,2,H3,SFTP170911,6.0,PLUG
6,40,2,H2,SFTP170912,6.0,PLUG
8,32,2-3,H3,SFTP170913,8.0,PLUG
8,36,2-3,H3,SFTP170914,8.0,PLUG
10,24,2-3,H3,SFTP170915,10.0,PLUG
10,32,2-3,H3,SFTP170916,10.0,PLUG
B 12,24,2-3,H3,SFTP170917,12.0,PLUG
12,28,2-3,H3,SFTP170918,12.0,PLUG
"1/4\"",20""",2-3,H3,SFTP170930,"1/4\"",PLUG""",,
"1/4\"",28""",2-3,H3,SFTP170931,"1/4\"",PLUG""",,
"5/16\"",18""",3,H3,SFTP170932,"5/16\"",PLUG""",,
"5/16\"",24""",3,H3,SFTP170933,"5/16\"",PLUG""",,
"3/8\"",16""",3,H3,SFTP170934,"3/8\"",PLUG""",,
"3/8\"",24""",3,H3,SFTP170935,"3/8\"",PLUG""",,
"7/16\"",14""",3-4,H3,SFTP170936,"7/16\"",PLUG""",,
"7/16\"",20""",3-4,H3,SFTP170937,"7/16\"",PLUG""",,
"1/2\"",13""",3-4,H3,SFTP170938,"1/2\"",PLUG""",,
"1/2\"",20""",3-4,H3,SFTP170939,"1/2\"",PLUG""",,
"9/16\"",12""",3-4,H3,SFTP170940,"9/16\"",PLUG""",,
"9/16\"",18""",3-4,H3,SFTP170941,"9/16\"",PLUG""",,
"5/8\"",11""",3-4,H3,SFTP170942,"5/8\"",PLUG""",,
"5/8\"",18""",3-4,H3,SFTP170943,"5/8\"",PLUG""",,
"3/4\"",10""",4,H3,SFTP170946,"3/4\"",PLUG""",,
"3/4\"",16""",4,H3,SFTP170947,"3/4\"",PLUG""",,
