SIZE,STOCK #,TAP GRIND,CLASS,LIMITS OF FIT,PLUG BOTTOM SIZE,OVERALL LENGTH,NO. OF FLUTES,LIMITS
"1/4"" 20",HSPUT70201,TP I,HSPUT70201,6,4,3,,
"1/4"" 28",HSPUT70202,TP I,HSPUT70202,6,4,3,,
"5/16"" 18",HSPUT70207,TP I,HSPUT70207,6,4,3,,
"5/16"" 24",HSPUT70208,TP I,HSPUT70208,6,4,3,,
"3/8"" 16",HSPUT70209,TP I,HSPUT70209,6,4,3,,
"3/8"" 24",HSPUT70210,TP I,HSPUT70210,6,4,3,,
"7/16"" 14",HSPUT70211,TP I,HSPUT70211,6,4,3,,
"7/16"" 20",HSPUT70212,TP I,HSPUT70212,6,4,3,,
"1/2"" 13",HSPUT70213,TP I,HSPUT70213,6,4,3,,
"1/2"" 20",HSPUT70214,TP I,HSPUT70214,6,4,3,,
"5/8"" 11",HSPUT70215,TP I,HSPUT70215,6,4,3,,
"5/8"" 18",HSPUT70216,TP I,HSPUT70216,6,4,3,,
"1/4"" 20",HSPUT70230,TP I,HSPUT70230,8,4,3,,
"1/4"" 28",HSPUT70231,TP I,HSPUT70231,8,4,3,,
"5/16"" 18",HSPUT70232,TP I,HSPUT70232,8,4,3,,
"5/16"" 24",HSPUT70233,TP I,HSPUT70233,8,4,3,,
"3/8"" 16",HSPUT70234,TP I,HSPUT70234,8,4,3,,
"3/8"" 24",HSPUT70235,TP I,HSPUT70235,8,4,3,,
"7/16"" 14",HSPUT70236,TP I,HSPUT70236,8,4,3,,
"1/2"" 13",HSPUT70238,TP I,HSPUT70238,8,4,3,,
"1/2"" 20",HSPUT70239,TP I,HSPUT70239,8,4,3,,
"5/8"" 11",HSPUT70240,TP I,HSPUT70240,8,4,3,,
"5/8"" 18",HSPUT70241,TP I,HSPUT70241,8,4,3,,
"3/4"" 10",HSPUT70242,TP I,HSPUT70242,8,4,3,,
"1"" 8",HSPUT70243,TP I,HSPUT70243,8,4,3,,
"3/8"" 16",HSPUT70250,TP I,HSPUT70250,10,4,3,,
"1/2"" 13",HSPUT70254,TP I,HSPUT70254,10,4,3,,
"5/8"" 11",HSPUT70256,TP I,HSPUT70256,10,4,3,,
"5/8"" 18",HSPUT70257,TP I,HSPUT70257,10,4,3,,
"3/4"" 10",HSPUT70258,TP I,HSPUT70258,10,4,3,,
"3/4"" 16",HSPUT70259,TP I,HSPUT70259,10,4,3,,
"1"" 8",HSPUT70260,TP I,HSPUT70260,10,4,3,,
"1/2"" 13",HSPUT70270,TP I,HSPUT70270,12,4,4,,
"5/8"" 11",HSPUT70272,TP I,HSPUT70272,12,4,4,,
"5/8"" 18",HSPUT70273,TP I,HSPUT70273,12,4,4,,
"3/4"" 10",HSPUT70274,TP I,HSPUT70274,12,4,4,,
"1"" 8",HSPUT70276,TP I,HSPUT70276,12,4,4,,
