MACHINE SCREW SIZES,STOCK #,TAP GRIND,CLASS,LIMITS OF FIT,PLUG BOTTOM SIZE,OVERALL LENGTH,NO. OF FLUTES,LIMITS
0,TFB81700,TP I,H3,2B,6.0,32.0,6.0,3.0
1,TFB81701,TP I,H3,3B,8.0,32.0,6.0,4.0
1,TFB81702,TP I,H3,3B,10.0,24.0,6.0,4.0
2,TFB81703,TP I,H3,3B,10.0,32.0,6.0,4.0
2,TFB81704,TP I,H3,3B,,,,
3,TFB81705,TP I,H3,3B,,,,
3,TFB81706,TP I,H3,3B,,,,
4,TFP71707,TP I,H3,3B,,,,
4,TFP71708,TP I,H3,3B,,,,
5,TFP71709,TP I,H4,3B,,,,
5,TFP71710,TP I,H3,3B,,,,
6,TFP71711,TP I,H4,3B,,,,
6,TFP71712,TP I,H4,3B,,,,
8,TFP71713,TP I,H4,3B,,,,
8,TFP71714,TP I,H4,3B,,,,
10,TFP71715,TP I,H5,2B,,,,
10,TFP71716,TP I,H5,2B,,,,
12,TFP71717,TP I,H4,3B,,,,
12,TFP71718,TP I,H4,3B,,,,
