Size,Threads per Inch,Number of Flutes,Length of Thread,Overall Length,Stock # Alfa USA,Stock # ECO PRO
"1/16""",27,5,"2-1/8""","11/16""",HSNPT76701,HSNPT26701
"1/8""",27,5,"2-1/8""","3/4""",HSNPT76702,HSNPT26702
"1/4""",18,5,"2-7/16""","1-1/16""",HSNPT76703,HSNPT26703
"3/8""",18,5,"2-9/16""","1-1/16""",HSNPT76704,HSNPT26704
"1/2""",14,5,"3-1/8""","1-3/8""",HSNPT76705,HSNPT26705
"3/4""",14,5,"3-1/4""","1-3/8""",HSNPT76706,HSNPT26706
"1""",11-1/2,5,"3-3/4""","1-3/4""",HSNPT76707,HSNPT26707
"1-1/4""",11-1/2,5,"4""","1-3/4""",HSNPT76708,—
"1-1/2""",11-1/2,7,"4""","1-3/4""",HSNPT76709,—
"2""",11-1/2,7,"4-1/2""","1-3/4""",HSNPT76710,—
