TAP THREAD,NO. OF FLUTES,SIZE,LENGTH,OVERALL LENGTH,TPI,STOCK #,SMALL DIA.,LARGE DIA.
"1/16""",4,27,"11/16""",HSNPS172321,,,,
"1/8""",4,27,"3/4""",HSNPS172323,"1/8""",0.316,0.362,
"1/4""",4,18,"1-1/16""",HSNPS172324,"1/4""",0.406,0.472,
"3/8""",4,18,"1-1/16""",HSNPS172325,"3/8""",0.54,0.606,
"1/2""",4,14,"1-3/8""",HSNPS172326,"1/2""",0.665,0.751,
"3/4""",5,14,"1-3/8""",HSNPS172327,"3/4""",0.876,0.962,
"1""",5,11-1/2,"1-3/4""",HSNPS172328,"1""",1.103,1.212,
"1-1/4""",5,11-1/2,"1-3/4""",HSNPS172329,"1-1/4""",1.444,1.553,
"1-1/2""",7,11-1/2,"1-3/4""",HSNPS172330,"1-1/2""",1.684,1.793,
"2""",7,11-1/2,"1-3/4""",HSNPS172331,"2""",2.159,2.268,
