TAP NC,SIZE NS,"13/16"" O.D.","1"" O.D.","1-1/2"" O.D.","2"" O.D.","2-1/2"" O.D.","3"" O.D.","4"" O.D."
MACHINE SCREW SIZES,HSRD90391,,,,,,,
MACHINE SCREW SIZES,HSRD90392,,,,,,,
MACHINE SCREW SIZES,HSRD90393,,,,,,,
MACHINE SCREW SIZES,HSRD90394,,,,,,,
MACHINE SCREW SIZES,HSRD90395,,,,,,,
MACHINE SCREW SIZES,HSRD90396,,,,,,,
MACHINE SCREW SIZES,HSRD90397,,,,,,,
MACHINE SCREW SIZES,HSRD90398,HSRD90414,,,,,,
MACHINE SCREW SIZES,HSRD90399,HSRD90415,,,,,,
MACHINE SCREW SIZES,HSRD90400,HSRD90416,,,,,,
MACHINE SCREW SIZES,HSRD90401,,,,,,,
MACHINE SCREW SIZES,HSRD90402,HSRD90417,,,,,,
MACHINE SCREW SIZES,HSRD90403,HSRD90418,,,,,,
MACHINE SCREW SIZES,HSRD90404,HSRD90419,,,,,,
MACHINE SCREW SIZES,HSRD90405,HSRD90420,,,,,,
MACHINE SCREW SIZES,HSRD90406,HSRD90421,,,,,,
MACHINE SCREW SIZES,HSRD90407,HSRD90422,,,,,,
MACHINE SCREW SIZES,HSRD90408,HSRD90423,,,,,,
MACHINE SCREW SIZES,HSRD90409,HSRD90424,,,,,,
FRACTIONAL,HSRD90410,HSRD90425,HSRD90435,HSRD90453,,,,
FRACTIONAL,HSRD90411,HSRD90426,HSRD90436,HSRD90454,,,,
FRACTIONAL,HSRD90412,HSRD90427,HSRD90437,HSRD90455,,,,
FRACTIONAL,HSRD90413,HSRD90428,HSRD90438,HSRD90456,,,,
FRACTIONAL,,HSRD90429,HSRD90439,HSRD90457,,,,
FRACTIONAL,,HSRD90430,HSRD90440,HSRD90458,,,,
FRACTIONAL,,HSRD90431,HSRD90441,HSRD90459,,,,
FRACTIONAL,,HSRD90432,HSRD90442,HSRD90460,,,,
FRACTIONAL,,HSRD90433,HSRD90443,HSRD90461,,,,
FRACTIONAL,,HSRD90434,HSRD90444,HSRD90462,,,,
FRACTIONAL,,,HSRD90445,HSRD90463,,,,
FRACTIONAL,,,HSRD90446,HSRD90464,,,,
FRACTIONAL,,,HSRD90447,HSRD90465,,,,
FRACTIONAL,,,HSRD90448,HSRD90466,,,,
FRACTIONAL,,,HSRD90449,HSRD90467,,,,
FRACTIONAL,,,HSRD90450,HSRD90468,,,,
FRACTIONAL,,,HSRD90451,HSRD90469,,,,
FRACTIONAL,,,HSRD90452,HSRD90470,,,,
FRACTIONAL,,,,HSRD90471,,,,
FRACTIONAL,,,,HSRD90472,,,,
FRACTIONAL,,,,HSRD90473,HSRD90484,,,
FRACTIONAL,,,,HSRD90474,HSRD90485,,,
FRACTIONAL,,,,HSRD90475,HSRD90486,,,
FRACTIONAL,,,,,HSRD90476,HSRD90487,,
FRACTIONAL,,,,,HSRD90477,HSRD90488,,
FRACTIONAL,,,,,HSRD90478,HSRD90489,,
FRACTIONAL,,,,HSRD90479,HSRD90490,,,
FRACTIONAL,,,,,HSRD90480,HSRD90491,,
FRACTIONAL,,,,,HSRD90481,HSRD90492,,
FRACTIONAL,,,,,HSRD90482,HSRD90493,,
FRACTIONAL,,,,,HSRD90483,HSRD90494,,
FRACTIONAL,,,,,,HSRD90495,,
FRACTIONAL,,,,,,HSRD90496,,
FRACTIONAL,,,,,,HSRD90497,,
FRACTIONAL,,,,,,HSRD90498,,
