SIZE,O.D.,STOCK #,SIZE.1,O.D..1,STOCK #.1,SIZE.2,O.D..2,STOCK #.2,SIZE.3,O.D..3,STOCK #.3
3,1.0,RDSPM75320,9.0,1-1/2,RDSPM75410,18.0,2.0,RDSPM75510,39.0,3.0,RDSPM75621
3,1.0,RDSPM75321,9.0,1-1/2,RDSPM75411,19.0,2.0,RDSPM75511,40.0,3.0,RDSPM75622
3,1.0,RDSPM75322,9.0,1-1/2,RDSPM75412,20.0,2.0,RDSPM75512,42.0,3.0,RDSPM75623
3.5,1.0,RDSPM75323,9.0,1-1/2,RDSPM75413,20.0,2.0,RDSPM75513,42.0,3.0,RDSPM75624
3.5,1.0,RDSPM75324,10.0,1-1/2,RDSPM75414,20.0,2.0,RDSPM75514,42.0,3.0,RDSPM75625
4,1.0,RDSPM75325,10.0,1-1/2,RDSPM75415,21.0,2.0,RDSPM75515,45.0,3.0,RDSPM75626
4,1.0,RDSPM75326,10.0,1-1/2,RDSPM75416,21.0,2.0,RDSPM75516,45.0,3.0,RDSPM75627
4,1.0,RDSPM75327,11.0,1-1/2,RDSPM75417,21.0,2.0,RDSPM75517,45.0,3.0,RDSPM75628
4,1.0,RDSPM75328,11.0,1-1/2,RDSPM75418,21.0,2.0,RDSPM75518,48.0,3.0,RDSPM75629
4,1.0,RDSPM75329,11.0,1-1/2,RDSPM75419,22.0,2.0,RDSPM75519,48.0,3.0,RDSPM75630
4.5,1.0,RDSPM75330,11.0,1-1/2,RDSPM75420,22.0,2.0,RDSPM75520,48.0,3.0,RDSPM75631
4.5,1.0,RDSPM75331,11.0,1-1/2,RDSPM75421,23.0,2.0,RDSPM75521,50.0,3.0,RDSPM75632
5,1.0,RDSPM75332,12.0,1-1/2,RDSPM75422,23.0,2.0,RDSPM75522,52.0,3.0,RDSPM75633
5,1.0,RDSPM75333,12.0,1-1/2,RDSPM75423,23.0,2.0,RDSPM75523,52.0,3.0,RDSPM75634
5,1.0,RDSPM75334,12.0,1-1/2,RDSPM75424,23.0,2.0,RDSPM75524,52.0,3.0,RDSPM75635
...,,,,,,,,,,,
