SIZE,"NC, NF, NS (A)",WIDTH (B),THICKNESS,STOCK #,SIZE.1,WIDTH (B).1,THICKNESS.1,STOCK #.1
4,40,"19/32""",1/4,HSHD74501,1/8,27,3/4,HSHD74551
6,32,"19/32""",1/4,HSHD74503,1/4,18,1-1/16,HSHD74552
8,32,"19/32""",1/4,HSHD74505,3/8,18,1-7/16,HSHD74553
10,24,"19/32""",1/4,HSHD74507,1/2,14,1-7/16,HSHD74554
10,32,"19/32""",1/4,HSHD74509,3/4,14,1-13/16,HSHD74555
12,24,"19/32""",1/4,HSHD74511,1,11-1/2,2-3/16,HSHD74556
,FRACTIONAL,,,,1-1/4,11-1/2,3-1/8,HSHD74557
,1-1/2,11-1/2,3-1/8,HSHD74558,,,,
1/4,20,"19/32""",1/4,HSHD74512,2,11-1/2,4-1/2,HSHD74559
1/4,28,"19/32""",1/4,HSHD74513,,,,
5/16,18,"11/16""",5/16,HSHD74514,,,,
5/16,24,"11/16""",5/16,HSHD74515,,,,
3/8,16,"25/32""",3/8,HSHD74516,,,,
3/8,24,"25/32""",3/8,HSHD74517,,,,
7/16,14,"7/8""",7/16,HSHD74518,,,,
7/16,20,"7/8""",7/16,HSHD74519,,,,
1/2,13,"1-1/16""",1/2,HSHD74520,,,,
1/2,20,"1-1/16""",1/2,HSHD74521,,,,
9/16,12,"1-1/16""",1/2,HSHD74522,,,,
9/16,18,"1-1/16""",1/2,HSHD74523,,,,
5/8,11,"1-1/4""",5/8,HSHD74524,,,,
5/8,18,"1-1/4""",5/8,HSHD74525,,,,
3/4,10,"1-7/16""",3/4,HSHD74526,,,,
3/4,16,"1-7/16""",3/4,HSHD74527,,,,
7/8,9,"1-5/8""",7/8,HSHD74528,,,,
7/8,14,"1-5/8""",7/8,HSHD74529,,,,
1,8,"1-13/16""",1,HSHD74530,,,,
1,12,"1-13/16""",1,HSHD74531,,,,
1,14,"1-13/16""",1,HSHD74532,,,,
1-1/8,7,"2""",1,HSHD74533,,,,
1-1/8,12,"2""",1,HSHD74534,,,,
1-1/4,7,"2-3/16""",1,HSHD74535,,,,
1-1/4,12,"2-3/16""",1,HSHD74536,,,,
1-3/8,6,"2-3/8""",1,HSHD74537,,,,
1-3/8,12,"2-3/8""",1,HSHD74538,,,,
1-1/2,6,"2-9/16""",1,HSHD74539,,,,
1-1/2,12,"2-9/16""",1,HSHD74540,,,,
