TAP TPI,STOCK # (TAPER),STOCK # (PLUG),STOCK # (PLUG) CARDED,STOCK # (BOTTOM),STOCK # (SET)
0 80 NF,CSHTT70500,CSHTP70500,CSHTP70500C,CSHTB70500,CSHTS70500
1 64 NC,CSHTT70501,CSHTP70501,CSHTP70501C,CSHTB70501,CSHTS70501
1 72 NF,CSHTT70502,CSHTP70502,CSHTP70502C,CSHTB70502,CSHTS70502
2 56 NC,CSHTT70503,CSHTP70503,CSHTP70503C,CSHTB70503,CSHTS70503
2 64 NF,CSHTT70504,CSHTP70504,CSHTP70504C,CSHTB70504,CSHTS70504
3 48 NC,CSHTT70505,CSHTP70505,CSHTP70505C,CSHTB70505,CSHTS70505
3 56 NF,CSHTT70506,CSHTP70506,CSHTP70506C,CSHTB70506,CSHTS70506
4 36 NS,CSHTT70507,CSHTP70507,CSHTP70507C,CSHTB70507,CSHTS70507
4 40 NC,CSHTT70508,CSHTP70508,CSHTP70508C,CSHTB70508,CSHTS70508
4 48 NF,CSHTT70509,CSHTP70509,CSHTP70509C,CSHTB70509,CSHTS70509
5 40 NC,CSHTT70510,CSHTP70510,CSHTP70510C,CSHTB70510,CSHTS70510
5 44 NF,CSHTT70511,CSHTP70511,CSHTP70511C,CSHTB70511,CSHTS70511
6 32 NC,CSHTT70512,CSHTP70512,CSHTP70512C,CSHTB70512,CSHTS70512
6 40 NF,CSHTT70513,CSHTP70513,CSHTP70513C,CSHTB70513,CSHTS70513
8 32 NC,CSHTT70514,CSHTP70514,CSHTP70514C,CSHTB70514,CSHTS70514
8 36 NF,CSHTT70515,CSHTP70515,CSHTP70515C,CSHTB70515,CSHTS70515
10 24 NC,CSHTT70516,CSHTP70516,CSHTP70516C,CSHTB70516,CSHTS70516
10 32 NF,CSHTT70517,CSHTP70517,CSHTP70517C,CSHTB70517,CSHTS70517
12 24 NC,CSHTT70518,CSHTP70518,CSHTP70518C,CSHTB70518,CSHTS70518
B 12 28 NF,CSHTT70519,CSHTP70519,CSHTP70519C,CSHTB70519,CSHTS70519
"3/16"" 24 NS",CSHTT70530,CSHTP70530,CSHTP70530C,CSHTB70530,CSHTS70530
"3/16"" 32 NS",CSHTT70531,CSHTP70531,CSHTP70531C,CSHTB70531,CSHTS70531
"1/4"" 20 NC",CSHTT70532,CSHTP70532,CSHTP70532C,CSHTB70532,CSHTS70532
"1/4"" 28 NF",CSHTT70533,CSHTP70533,CSHTP70533C,CSHTB70533,CSHTS70533
"5/16"" 18 NC",CSHTT70534,CSHTP70534,CSHTP70534C,CSHTB70534,CSHTS70534
"5/16"" 24 NF",CSHTT70535,CSHTP70535,CSHTP70535C,CSHTB70535,CSHTS70535
"3/8"" 16 NC",CSHTT70536,CSHTP70536,CSHTP70536C,CSHTB70536,CSHTS70536
"3/8"" 24 NF",CSHTT70537,CSHTP70537,CSHTP70537C,CSHTB70537,CSHTS70537
"7/16"" 14 NC",CSHTT70538,CSHTP70538,CSHTP70538C,CSHTB70538,CSHTS70538
"7/16"" 20 NF",CSHTT70539,CSHTP70539,CSHTP70639C,CSHTP70539,CSHTS70539
"1/2"" 13 NC",CSHTT70540,CSHTP70540,CSHTP70540C,CSHTB70540,CSHTS70540
"1/2"" 20 NF",CSHTT70541,CSHTP70541,CSHTP70541C,CSHTB70541,CSHTS70541
"9/16"" 12 NC",CSHTT70542,CSHTP70542,,CSHTB70542,CSHTS70542
"9/16"" 18 NF",CSHTT70543,CSHTP70543,,CSHTB70543,CSHTS70543
"5/8"" 11 NC",CSHTT70544,CSHTP70544,,CSHTB70544,CSHTS70544
"5/8"" 18 NF",CSHTT70545,CSHTP70545,,CSHTB70545,CSHTS70545
"3/4"" 10 NC",CSHTT70546,CSHTP70546,,CSHTB70546,CSHTS70546
"3/4"" 16 NF",CSHTT70547,CSHTP70547,,CSHTB70547,CSHTS70547
"7/8"" 9 NC",CSHTT70548,CSHTP70548,,CSHTB70548,CSHTS70548
"7/8"" 14 NF",CSHTT70549,CSHTP70549,,CSHTB70549,CSHTS70549
"*7/8"" 18 SP",,CSHTP70550,,,
"1"" 8 NC",CSHTT70551,CSHTP70551,,CSHTB70551,CSHTS70551
"1"" 12 NF",CSHTT70552,CSHTP70552,,CSHTB70552,CSHTS70552
"1"" 14 NS",CSHTT70553,CSHTP70553,,CSHTB70553,CSHTS70553
"1-1/8"" 7 NC",CSHTT70554,CSHTP70554,,CSHTB70554,CSHTS70554
"1-1/8"" 12 NF",CSHTT70555,CSHTP70555,,CSHTB70555,CSHTS70555
"1-1/4"" 7 NC",CSHTT70556,CSHTP70556,,CSHTB70556,CSHTS70556
"1-1/4"" 12 NF",CSHTT70557,CSHTP70557,,CSHTB70557,CSHTS70557
"1-3/8"" 6 NC",CSHTT70558,CSHTP70558,,CSHTB70558,CSHTS70558
"1-3/8"" 12 NF",CSHTT70559,CSHTP70559,,CSHTB70559,CSHTS70559
"1-1/2"" 6 NC",CSHTT70560,CSHTP70560,,CSHTB70560,CSHTS70560
"1-1/2"" 12 NF",CSHTT70561,CSHTP70561,,CSHTB70561,CSHTS70561
