STOCK #,TAP,PITCH,SET OF 3,SIZE,TAPER PLUG BOTTOMING,BOXED
3,0.5,CSMTT70810,CSMP70810,CSMTB70810,CSMTS70810,
3,0.6,CSMTT70811,CSMP70811,CSMTB70811,CSMTS70811,
4,0.5,CSMTT70812,CSMP70812,CSMTB70812,CSMTS70812,
4,0.7,CSMTT70813,CSMP70813,CSMTB70813,CSMTS70813,
4,0.75,CSMTT70813A,CSMP70813A,CSMTB70813A,CSMTS70813A,
5,0.8,CSMTT70814,CSMP70814,CSMTB70814,CSMTS70814,
5,0.9,CSMTT70815,CSMP70815,CSMTB70815,CSMTS70815,
6,1.0,CSMTT70816,CSMP70816,CSMTB70816,CSMTS70816,
7,1.0,CSMTT70817,CSMP70817,CSMTB70817,CSMTS70817,
8,1.0,CSMTT70818,CSMP70818,CSMTB70818,CSMTS70818,
8,1.25,CSMTT70819,CSMP70819,CSMTB70819,CSMTS70819,
9,0.75,CSMTT70820,CSMP70820,CSMTB70820,CSMTS70820,
9,1.0,CSMTT70821,CSMP70821,CSMTB70821,CSMTS70821,
9,1.25,CSMTT70822,CSMP70822,CSMTB70822,CSMTS70822,
10,1.0,CSMTT70823,CSMP70823,CSMTB70823,CSMTS70823,
10,1.25,CSMTT70824,CSMP70824,CSMTB70824,CSMTS70824,
10,1.5,CSMTT70825,CSMP70825,CSMTB70825,CSMTS70825,
11,1.5,CSMTT70826,CSMP70826,CSMTB70826,CSMTS70826,
12,1.25,CSMTT70827,CSMP70827,CSMTB70827,CSMTS70827,
12,1.5,CSMTT70828,CSMP70828,CSMTB70828,CSMTS70828,
12,1.75,CSMTT70829,CSMP70829,CSMTB70829,CSMTS70829,
14,1.25,CSMTT70830,CSMP70830,CSMTB70830,CSMTS70830,
14,1.5,CSMTT70831,CSMP70831,CSMTB70831,CSMTS70831,
14,2.0,CSMTT70832,CSMP70832,CSMTB70832,CSMTS70832,
16,1.5,CSMTT70833,CSMP70833,CSMTB70833,CSMTS70833,
16,2.0,CSMTT70834,CSMP70834,CSMTB70834,CSMTS70834,
18,2.0,CSMTT70835,CSMP70835,CSMTB70835,CSMTS70835,
18,2.5,CSMTT70836,CSMP70836,CSMTB70836,CSMTS70836,
18,1.5,CSMTT70837,CSMP70837,CSMTB70837,CSMTS70837,
20,1.5,CSMTT70838,CSMP70838,CSMTB70838,CSMTS70838,
20,2.5,CSMTT70839,CSMP70839,CSMTB70839,CSMTS70839,
22,1.5,CSMTT70840,CSMP70840,CSMTB70840,CSMTS70840,
22,2.5,CSMTT70841,CSMP70841,CSMTB70841,CSMTS70841,
24,2.0,CSMTT70842,CSMP70842,CSMTB70842,CSMTS70842,
24,3.0,CSMTT70843,CSMP70843,CSMTB70843,CSMTS70843,
27,2.0,CSMTT70844,CSMP70844,CSMTB70844,CSMTS70844,
27,3.0,CSMTT70845,CSMP70845,CSMTB70845,CSMTS70845,
30,2.0,CSMTT70846,CSMP70846,CSMTB70846,CSMTS70846,
30,3.5,CSMTT70847,CSMP70847,CSMTB70847,CSMTS70847,
