Size,Length,Thickness,Stock #
1/4,20,19/32,CSRTD70701
1/4,28,19/32,CSRTD70702
5/16,18,11/16,CSRTD70703
5/16,24,11/16,CSRTD70704
3/8,16,25/32,CSRTD70705
3/8,24,25/32,CSRTD70706
7/16,14,7/8,CSRTD70707
7/16,20,7/8,CSRTD70708
1/2,13,1-1/16,CSRTD70709
1/2,20,1-1/16,CSRTD70710
9/16,12,1-1/16,CSRTD70711
9/16,18,1-1/16,CSRTD70712
5/8,11,1-1/4,CSRTD70713
5/8,18,1-1/4,CSRTD70714
3/4,10,1-7/16,CSRTD70715
3/4,16,1-7/16,CSRTD70716
7/8,9,1-5/8,CSRTD70717
7/8,14,1-5/8,CSRTD70718
1,8,1-13/16,CSRTD70719
1,12,1-13/16,CSRTD70720
1,14,1-13/16,CSRTD70721
1-1/8,7,2,CSRTD70722
1-1/8,12,2,CSRTD70723
1-1/4,7,2-3/16,CSRTD70724
1-1/4,12,2-3/16,CSRTD70725
1-3/8,6,2-3/8,CSRTD70726
1-3/8,12,2-3/8,CSRTD70727
1-1/2,6,2-9/16,CSRTD70728
1-1/2,12,2-9/16,CSRTD70729
1-5/8,6,3-1/8,CSRTD70730
1-5/8,12,3-1/8,CSRTD70731
1-3/4,5,3-1/8,CSRTD70732
1-3/4,12,3-1/8,CSRTD70733
2,4-1/2,3-1/2,CSRTD70734
2,12,3-1/2,CSRTD70735
2-1/2,4,4-1/2,CSRTD70736
2-3/4,4,4-1/2,CSRTD70737
3,4,5,CSRTD70738
3-1/4,4,5,CSRTD70739
3-1/2,4,5,CSRTD70739A
3-3/4,4,6,CSRTD70739B
4,4,7,CSRTD70739C
