TAP SIZE,SHANK TAP SHANK,TAP SHANK,SQUARE SHANK DIA.,STOCK #,SQUARE SHANK STOCK #,OF TAP DIA.
0-6,TE40006,.191 sq,.250 sq,.142 sq,,
"#10 (3/16\)""",TE45010,.152 sq,.154 sq,.152 sq,,
8,TE40008,.191 sq,.250 sq,.169 sq,,
"#10 (3/16\)""",TE45010,.191 sq,.312 sq,.195 sq,,
12,TE40012,.164 sq,.312 sq,.220 sq,,
"1/4\"",TE45025""",.191 sq,.375 sq,.256 sq,,,
"5/16\"",TE45031""",.238 sq,.242 sq,.238 sq,,,
"3/8\ (.206 sq.)""",TE45037,.206 sq,.210 sq,.206 sq,,
"5/16\"",TE45031""",.237 sq,.437 sq,.319 sq,,,
"3/8\ (.286 sq.)*""",TE45038,.286 sq,.290 sq,.286 sq,,
"7/16\"",TE45043""",.242 sq,.246 sq,.242 sq,,,
"1/2\"",TE45050""",.275 sq,.279 sq,.275 sq,,,
"5/8\"",TE45062""",.360 sq,.364 sq,.360 sq,,,
"3/4\"",TE40075""",.441 sq,.750 sq,.591 sq,,,
"7/8\"",TE40087""",.522 sq,.906 sq,.698 sq,,,
"1\"",TE40100""",.599 sq,1.000 sq,.801 sq,,,
Let me know if you need any further assistance!,,,,,,
