THREAD,INTERNAL THREAD,EXTERNAL THREAD,TAP DRILL SIZE,MINIMUM THREAD DEPTH,FULL THREAD LENGTH,STOCK #
4-40,10-32,.250,5/32,10-32,9/32,SI67501
6-32,1/4-20,.280,7,1/4-20,11/32,SI67502
8-32,5/16-18,.290 F,5/16,5/16-18,7/16,SI67503
10-24,3/8-16,.406,5/16,3/8-16,15/32,SI67504
1/4-20,7/16-14,.437,23/64,7/16-14,1/2,SI67505
5/16-18,1/2-13,.484,27/64,1/2-13,9/16,SI67506
3/8-16,9/16-12,.515,31/64,9/16-12,19/32,SI67507
7/16-14,5/8-11,.656,17/32,5/8-11,23/32,SI67508
1/2-13,3/4-10,.656,21/32,3/4-10,3/4,SI67509
9/16-12,3/4-10,.656,21/32,3/4-10,3/4,SI67510
5/8-11,7/8-9,.687,49/64,7/8-9,13/16,SI67511
5/8-11,7/8-9,1.125,49/64,7/8-9,1-1/4,SI67512
3/4-10,1-8,.781,7/8,1-8,7/8,SI67513
7/8-9,1-1/4 - 7,1.125,1-7/64,1-1/4 - 7,1-1/8,SI67514
1-8,1-3/8 - 12,1.250,1-9/32,1-3/8 - 12,1-3/8,SI67515
