THREAD,INTERNAL THREAD,EXTERNAL THREAD,TAP DRILL SIZE,MINIMUM THREAD DEPTH,FULL THREAD LENGTH,STOCK #
10-32,3/8-16,0.406,5/16,3/8-16,15/32,SI67521
1/4-28,7/16-14,0.437,23/64,7/16-14,1/2,SI67522
5/16-24,1/2-13,0.484,27/64,1/2-13,9/16,SI67523
3/8-24,9/16-12,0.515,31/64,9/16-12,19/32,SI67524
7/16-20,5/8-11,0.656,17/32,5/8-11,23/32,SI67525
1/2-20,3/4-10,0.656,21/32,3/4-10,3/4,SI67526
9/16-18,3/4-10,0.656,21/32,3/4-10,3/4,SI67527
5/8-18,7/8-9,0.687,49/64,7/8-9,13/16,SI67528
3/4-16,1-8,0.781,7/8,1-8,7/8,SI67529
7/8-14,1-1/4 - 7,1.125,1-7/64,1-1/4 - 7,1-1/8,SI67530
1-14,1-3/8 - 12,1.25,1-9/32,1-3/8 - 12,1-3/8,SI67531
