STOCK #,SIZE,MACHINE SCREW SIZES,STI DRILL,METRIC,STI DRILL.1
M5 x .8,4 - 40,#31,5,.2,ST66550
M6 x 1.0,4 - 48,#31,6,.3,ST66551
M8 x 1.0,5 - 40,#28,8,.3,ST66552A
M8 x 1.25,6 - 32,#25,8,.3,ST66552
M9 x 1.25,6 - 40,#25,9,.25,ST66553
M10 x 1.0,8 - 32,"11/64""",10,.3,ST66554A
M10 x 1.25,8 - 36,#17,10,.3,ST66554
M10 x 1.50,10 - 24,"13/64""",10,.4,ST66555
M11 x 1.25,10 - 32,"13/64""",11,.00,ST66556
M11 x 1.50,12 - 24,#1,11,.00,ST66557
M12 x 1.25,M12 x 1.50,12,.2,ST66558,
M12 x 1.75,M12 x 1.50,12,.50,ST66559,
M14 x 1.25,"1/4"" - 20","17/64""",14,.30,ST66561A
M14 x 1.50,"1/4"" - 28","17/64""",14,.30,ST66561
M14 x 2.0,"5/16"" - 18","21/64""",14,.50,ST66562
M16 x 1.50,"5/16"" - 24","21/64""",16,.25,ST66563
M16 x 2.00,"3/8"" - 16","25/64""",16,.50,ST66564
M18 x 1.50,"3/8"" - 24","25/64""",18,.25,ST66565
M18 x 2.0,"7/16"" - 14","29/64""",18,.50,ST66566A B
M18 x 2.50,"7/16"" - 20","29/64""",18,.50,ST66566
M20 x 1.50,"1/2"" - 13","17/32""",20,.25,ST66567
M20 x 2.0,"1/2"" - 20","33/64""",20,.50,ST66568A
M20 x 2.50,"5/8"" - 11","21/32""",20,.50,ST66568
M22 x 1.50,"5/8"" - 18","41/64""",22,.50,ST66569
M22 x 2.0,"3/4"" - 10","25/32""",22,.50,ST66570
M22 x 2.5,"3/4"" - 16","49/64""",22,.50,ST66571A
M24 x 2.0,"7/8"" - 9","29/32""",24,.25,ST66571
M24 x 3.0,"7/8"" - 14","57/64""",24,.75,ST66572
"1"" - 8","1-1/32""",1 per pack,-,-,ST66549
"1"" - 12","1-1/64""",1 per pack,-,-,ST66549A
"1"" - 14","1-1/64""",1 per pack,-,-,ST66549B
