SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH," ALFA USA ""STOCK #""",
1/16," "".0625"""," ""7/8"""," ""1-7/8"""," ""S150101"""," ""S150101B"""
5/64," "".0781"""," ""1"""," ""2"""," ""S150102"""," ""S150102B"""
3/32," "".0938"""," ""1-1/4"""," ""2-1/4"""," ""S150103"""," ""S150103B"""
7/64," "".1094"""," ""1-1/2"""," ""2-5/8"""," ""S150104"""," ""S150104B"""
1/8," "".1250"""," ""1-5/8"""," ""2-3/4"""," ""S150105"""," ""S150105B"""
9/64," "".1406"""," ""1-3/4"""," ""2-7/8"""," ""S150106"""," ""S150106B"""
5/32," "".1562"""," ""2"""," ""3-1/8"""," ""S150107"""," ""S150107B"""
11/64," "".1719"""," ""2-1/8"""," ""3-1/4"""," ""S150108"""," ""S150108B"""
3/16," "".1875"""," ""2-5/16"""," ""3-1/2"""," ""S150109"""," ""S150109B"""
13/64," "".2031"""," ""2-7/16"""," ""3-5/8"""," ""S150110"""," ""S150110B"""
7/32," "".2188"""," ""2-1/2"""," ""3-3/4"""," ""S150111"""," ""S150111B"""
15/64," "".2344"""," ""2-5/8"""," ""3-7/8"""," ""S150112"""," ""S150112B"""
1/4," "".2500"""," ""2-3/4"""," ""4"""," ""S150113"""," ""S150113B"""
17/64," "".2656"""," ""2-7/8"""," ""4-1/8"""," ""S150114"""," ""S150114B"""
9/32," "".2812"""," ""2-15/16"""," ""4-1/4"""," ""S150115"""," ""S150115B"""
19/64," "".2969"""," ""3-1/16"""," ""4-3/8"""," ""S150116"""," ""S150116B"""
5/16," "".3125"""," ""3-3/16"""," ""4-1/2"""," ""S150117"""," ""S150117B"""
21/64," "".3281"""," ""3-5/16"""," ""4-5/8"""," ""S150118"""," ""S150118B"""
11/32," "".3438"""," ""3-7/16"""," ""4-3/4"""," ""S150119"""," ""S150119B"""
23/64," "".3594"""," ""3-1/2"""," ""4-7/8"""," ""S150120"""," ""S150120B"""
3/8," "".3750"""," ""3-5/8"""," ""5"""," ""S150121"""," ""S150121B"""
25/64," "".3906"""," ""3-3/4"""," ""5-1/8"""," ""S150122"""," ""S150122B"""
13/32," "".4062"""," ""3-7/8"""," ""5-1/4"""," ""S150123"""," ""S150123B"""
27/64," "".4219"""," ""3-15/16"""," ""5-3/8"""," ""S150124"""," ""S150124B"""
7/16," "".4375"""," ""4-1/16"""," ""5-1/2"""," ""S150125"""," ""S150125B"""
29/64," "".4531"""," ""4-3/16"""," ""5-5/8"""," ""S150126"""," ""S150126B"""
15/32," "".4688"""," ""4-5/16"""," ""5-3/4"""," ""S150127"""," ""S150127B"""
31/64," "".4844"""," ""4-3/8"""," ""5-7/8"""," ""S150128"""," ""S150128B"""
1/2," "".5000"""," ""4-1/2"""," ""6"""," ""S150129"""," ""S150129B"""
