STOCK #,STOCK #.1,DESCRIPTION,DESCRIPTION.1
TDSH118C,TDSH218C,NC Plug Taps with Jobber Drills,NC Taps with Jobber Drills
,Contains 1 ea . 6-32 tap #36 drill 8-32 #29,Contains 1 each 6-32 tap #36 drill 8-32 #29,
,"10-24 #25 10-32 #21 1/4-20 #7 5/16""-18 F""","10-24 #25 10-32 #21 1/4-20 #7 5/16""-18 F""",
,"3/8-16 5/16"" 7/16""-14 U 1/2""-13 27/64""","3/8-16 5/16"" 7/16""-14 U 1/2""-13 27/64""",
TDSC218C,,,
TDSBB18NC,,NC HSS Plug Taps with Blitz Bit Drills,
,Contains 1 ea . 6-32 tap #36 drill 8-32 #29,Contains 1 each 6-40 tap #36 drill 8-36 #29,
,"10-24 #25 10-32 #21 1/4-20 #7 5/16""-18 F""",10-24 #25 10-32 #21 1/4-28 #3 5/16-24 I,
,"3/8-16 5/16"" 7/16""-14 U 1/2""-13 27/64""","3/8-24 Q 7/16""-20 25/64 1/2""-20 29/64""",
TDSH218F,,NF Plug Taps with Jobber Drills,
,Contains 1 ea . 6-40 tap #33 drill 8-36 #29,Contains 1 each 6-40 tap #33 drill 8-36 #29,
,"10-24 #25 10-32 #21 1/4-28 #3 5/16""-24 I""",10-24 #25 10-32 #21 1/4-28 #3 5/16-24 I,
,"3/8-24 Q 7/16""-20 25/64 1/2""-20 29/64""","3/8-24 Q 7/16""-20 25/64 1/2""-20 29/64""",
TDSBB18NF,,NF HSS Plug Taps with Blitz Bit Drills,
,Contains 1 ea . 6-40 tap #33 drill 8-36 #29,Contains 1 each 6-40 tap #33 drill 8-36 #29,
,"10-24 #25 10-32 #21 1/4-28 #3 5/16""-24 I""",10-24 #25 10-32 #21 1/4-28 #3 5/16-24 I,
,"3/8-24 Q 7/16""-20 25/64 1/2""-20 29/64""","3/8-24 Q 7/16""-20 25/64 1/2""-20 29/64""",
TDSH118M,TDSH218M,Metric Plug Taps with Jobber Drills,
,Contains 1 ea . M2 .5 x  .45 #46 drill,Contains 1 each M2 .5 x  .45 #46 drill,
,M3 .0 x  .50 #39 M3 .5 x  .60 #32 M4 .0 x  .70 #30,M3 .0 x  .50 #39 M3 .5 x  .60 #32 M4 .0 x  .70 #30,
,M5 .0 x  .80 #19 M6 .0 x 1 .0 #8 M8 .0 x 1 .25 H,M5 .0 x  .80 #19 M6 .0 x 1 .0 #8 M8 .0 x 1 .25 H,
,M10 .0 x 1 .50 Q M12 .0 x 1 .75 13/32,M10 .0 x 1 .50 Q M12 .0 x 1 .75 13/32,
