STOCK #,SHAPE,DI,H,A,E,x,A D,LE,S,N,IZ,G,E.1,TH,SINGLE DOUBLE DOUBLE CUT,CUT CUT TiN COATED,CUT CUT TiN COATED.1
SC-11,1/8 x 1/2,B71221,B71221D,B71221DTN,SD-11,1/8,B71241,B71241D,B71241DTN,,,,,,,,
SC-12,1/8 x 5/8,B71333,B71333D,B71333DTN,SD-14,3/16,B71350,B71350D,B71350DTN,,,,,,,,
SC-13,5/32 x 5/8,B71233B,B71233BD,B71233BDTN,SD-1,1/4,B71242,B71242D,B71242DTN,,,,,,,,
SC-14,3/16 x 5/8,B71220,B71220D,B71220DTN,SD-2,5/16,B71243,B71243D,B71243DTN,,,,,,,,
SC-1,1/4 x 5/8,B71222,B71222D,B71222DTN,SD-3,3/8,B71244,B71244D,B71244DTN,,,,,,,,
SC-2,5/16 x 3/4,B71224,B71224D,B71224DTN,SD-4,7/16,B71245,B71245D,B71245DTN,,,,,,,,
SC-3,3/8 x 3/4,B71225,B71225D,B71225DTN,SD-5,1/2,B71246,B71246D,B71246DTN,,,,,,,,
SC-3L,3/8 x 1,B71225B,B71225BD,B71225BDTN,SD-6,5/8,B71247,B71247D,B71247DTN,,,,,,,,
SC-3X,3/8 x 1-1/2,B71225C,B71225CD,B71225CDTN,SD-7,3/4,B71248,B71248D,B71248DTN,,,,,,,,
SC-4,7/16 x 1,B71227,B71227D,B71227DTN,SD-9,1,B71249,B71249D,B71249DTN,,,,,,,,
SC-5,1/2 x 1,B71228,B71228D,B71228DTN,,,,,,,,,,,,,
SC-6,5/8 x 1,B71229,B71229D,B71229DTN,,,,,,,,,,,,,
SC-16,3/4 x 3/4,B71229C,B71229CD,B71229CDTN,,,,,,,,,,,,,
SC-7,3/4 x 1,B71230,B71230D,B71230DTN,,,,,,,,,,,,,
SC-9,1 x 1,B71231,B71231D,B71231DTN,,,,,,,,,,,,,
