STOCK #,SHAPE,DI,H,A,E,x,A D,LE,S,N,IZ,G,E.1,TH,SINGLE DOUBLE DOUBLE CUT,CUT CUT TiN COATED,CUT CUT TiN COATED.1
SA-11,1/8 x 1/2,B71201,B71201D,B71201DTN,SB-11,1/8 x 1/2,B71291,B71291D,B71291DTN,,,,,,,,
SA-12,1/8 x 5/8,B71301,B71301D,B71301DTN,SB-12,1/8 x 5/8,B71391,B71391D,B71391DTN,,,,,,,,
SA-14,3/16 x 5/8,B71212,B71212D,B71212DTN,SB-14,3/16 x 5/8,B71392,B71392D,B71392DTN,,,,,,,,
SA-1,1/4 x 5/8,B71202,B71202D,B71202DTN,SB-1,1/4 x 5/8,B71292,B71292D,B71292DTN,,,,,,,,
SA-1L,1/4 x 1,B71202B,B71202BD,B71202BDTN,SB-1L,1/4 x 1,B71292B,B71292BD,B71292BDTN,,,,,,,,
SA-2,5/16 x 3/4,B71204,B71204D,B71204DTN,SB-2,5/16 x 3/4,B71293,B71293D,B71293DTN,,,,,,,,
SA-3,3/8 x 3/4,B71205,B71205D,B71205DTN,SB-3,3/8 x 3/4,B71294,B71294D,B71294DTN,,,,,,,,
SA-3L,3/8 x 1,B71205B,B71205BD,B71205BDTN,SB-3L,3/8 x 1,B71294B,B71294BD,B71294BDTN,,,,,,,,
SA-3X,3/8 x 1-1/2,B71205C,B71205CD,B71205CDTN,SB-3X,3/8 x 1,B71294C,B71294CD,B71294CDTN,,,,,,,,
SA-4,7/16 x 1,B71207,B71207D,B71207DTN,SB-4,7/16 x 1,B71295,B71295D,B71295DTN,,,,,,,,
SA-5,1/2 x 1,B71208,B71208D,B71208DTN,SB-5,1/2 x 1,B71296,B71296D,B71296DTN,,,,,,,,
SA-6,5/8 x 1,B71209,B71209D,B71209DTN,SB-6,5/8 x 1,B71297,B71297D,B71297DTN,,,,,,,,
SA-16,3/4 x 3/4,B71303,B71303D,B71303DTN,SB-16,3/4 x 3/4,B71398,B71398D,B71398DTN,,,,,,,,
SA-7,3/4 x 1,B71210,B71210D,B71210DTN,SB-7,3/4 x 1,B71298,B71298D,B71298DTN,,,,,,,,
SA-9,1 x 1,B71211,B71211D,B71211DTN,SB-9,1 x 1,B71299,B71299D,B71299DTN,,,,,,,,
