SHAPE,DI,H,A,E,. x,A D,LE,S,N,IZ,G,E.1,TH,SINGLE,DOUBLE,DOUBLE CUT,CUT,CUT TiN COATED
SE-11,3/16 x 5/16,B71319,B71319D,B71319DTN,SF-11,1/8 x 1/2,B71252,B71252D,B71252DTN,,,,,,,,,
SE-1,1/4 x 3/8,B71214,B71214D,B71214DTN,SF-1,1/4 x 5/8,B71252,B71252D,B71252DTN,,,,,,,,,
SE-3,3/8 x 5/8,B71215,B71215D,B71215DTN,SF-3,3/8 x 3/4,B71253,B71253D,B71253DTN,,,,,,,,,
SE-5,1/2 x 7/8,B71216,B71216D,B71216DTN,SF-4,7/16 x 1,B71354,B71354D,B71354DTN,,,,,,,,,
SE-6,5/8 x 1,B71217,B71217D,B71217DTN,SF-13,1/2 x 3/4,B71258,B71258D,B71258DTN,,,,,,,,,
SE-7,3/4 x 1,B71218,B71218D,B71218DTN,SF-5,1/2 x 1,B71255,B71255D,B71255DTN,,,,,,,,,
,,,,,SF-6,5/8 x 1,B71256,B71256D,B71256DTN,,,,,,,,,
,,,,,SF-7,3/4 x 1,B71257,B71257D,B71257DTN,,,,,,,,,
,,,,,SF-14,3/4 x 1-1/4,B71351,B71351D,B71351DTN,,,,,,,,,
,,,,,SF-15,3/4 x 1-1/2,B71259,B71259D,B71259DTN,,,,,,,,,
