Stock #,Shape,DIA.,LENG,Single Cut,Double Cut
SA-1L6,A-CYLINDRICAL,1/4 x 5/8,B71202L,B71202DL,
SA-3L6,A-CYLINDRICAL,3/8 x 3/4,B71205L,B71205DL,
SA-5L6,A-CYLINDRICAL,1/2 x 1,B71208L,B71208DL,
SB-1L6,B-CYLINDRICAL END CUT,1/4 x 5/8,B71292L,B71292DL,
SB-3L6,B-CYLINDRICAL END CUT,3/8 x 3/4,B71294L,B71294DL,
SB-5L6,B-CYLINDRICAL END CUT,1/2 x 1,B71296L,B71296DL,
SC-1L6,C - CY C L -C I Y N L D IN R DR IC IC A AL L R A R D A IU D S I E U N S D END,1/4 x 5/8,B71222L,B71222DL,
SC-3L6,C - CY C L -C I Y N L D IN R DR IC IC A AL L R A R D A IU D S I E U N S D END,3/8 x 3/4,B71225L,B71225DL,
SC-5L6,C - CY C L -C I Y N L D IN R DR IC IC A AL L R A R D A IU D S I E U N S D END,1/2 x 1,B71228L,B71228DL,
SD-1L6,D - BALL,1/4,B71242L,B71242DL,
SD-3L6,D - BALL,3/8,B71244L,B71244DL,
SD-5L6,D - BALL,1/2,B71246L,B71246DL,
SE-1L6,E - OVAL,1/4 x 3/8,B71214L,B71214DL,
SE-3L6,E - OVAL,3/8 x 5/8,B71215L,B71215DL,
SE-5L6,E - OVAL,1/2 x 7/8,B71216L,B71216DL,
SF-1L6,F - TREE RADIUS END,1/4 x 5/8,B71252L,B71252DL,
SF-3L6,F - TREE RADIUS END,3/8 x 3/4,B71253L,B71253DL,
SF-5L6,F - TREE RADIUS END,1/2 x 1,B71255L,B71255DL,
SG-1L6,G - TGR - ETREE EP POOIINNTTEDE EDN DEND,1/4 x 5/8,B71261L,B71261DL,
SG-3L6,G - TGR - ETREE EP POOIINNTTEDE EDN DEND,3/8 x 3/4,B71263L,B71263DL,
SG-5L6,G - TGR - ETREE EP POOIINNTTEDE EDN DEND,1/2 x 1,B71265L,B71265DL,
SH-2L6,H - FLAME,5/16 x 3/4,B71272L,B71272DL,
SH-5L6,H - FLAME,1/2 x 1-1/4,B71273L,B71273DL,
SL-1L6,L - TAPER LC-TOAPNEER CPOONEINTED END,1/4 x 5/8,B71281L,B71281DL,
SL-3L6,L - TAPER LC-TOAPNEER CPOONEINTED END,3/8 x 1-1/16,B71283L,B71283DL,
SL-4L6,L - TAPER LC-TOAPNEER CPOONEINTED END,5/8 x 1-3/16,B71284L,B71284DL,
SM-1L6,M - TAPER CONE,1/4 x 1/2,B71233L,B71233DL,
SM-3L6,M - TAPER CONE,1/4 x 1,B71235L,—,
SM-5L6,M - TAPER CONE,1/2 x 7/8,B71237L,B71237DL,
