HEAD SIZE,HEAD SIZE.1,SHAPE,STOCK #,DIA. x LENGTH,DIA. x LENGTH.1
1/16 x 1/4,1/16 x 1/4,SA-41,B71205G,SA-41,1/16 x 1/4
3/32 x 7/16,3/32 x 7/16,SA-42,B71206,SA-42,3/32 x 7/16
1/8 x 9/16,1/8 x 9/16,SA-43,B71213,SA-43,1/8 x 9/16
1/16 x 1/4,1/16 x 1/4,SB-41,B71232,SB-41,1/16 x 1/4
1/8 x 9/16,1/8 x 9/16,SB-43,B71232B,SB-43,1/8 x 9/16
3/32 x 7/16,3/32 x 7/16,SC-41,B71226,SC-41,3/32 x 7/16
1/8 x 9/16,1/8 x 9/16,SC-42,B71254,SC-42,1/8 x 9/16
3/32 x 3/32,3/32 x 3/32,SD-41,B71239B,SD-41,3/32 x 3/32
1/8 x 1/8,1/8 x 1/8,SD-42,B71240A,SD-42,1/8 x 1/8
1/8 x 7/32,1/8 x 7/32,SE-41,B71270,SE-41,1/8 x 7/32
1/8 x 1/4,1/8 x 1/4,SF-41,B71251,SF-41,1/8 x 1/4
1/8 x 1/2,1/8 x 1/2,SF-42,B71251B,SF-42,1/8 x 1/2
1/8 x 1/4,1/8 x 1/4,SG-41,B71264,SG-41,1/8 x 1/4
1/8 x 5/16,1/8 x 5/16,SG-42,B71264B,SG-42,1/8 x 5/16
1/8 x 3/8,1/8 x 3/8,SG-43,B71264C,SG-43,1/8 x 3/8
1/8 x 1/2,1/8 x 1/2,SG-44,B71264E,SG-44,1/8 x 1/2
1/8 x 1/4,1/8 x 1/4,SH-41,B71271A,SH-41,1/8 x 1/4
1/8 x 3/32,1/8 x 3/32,SJ-42,B71401,SJ-42,1/8 x 3/32
1/8 x 1/16,1/8 x 1/16,SK-42,B71405,SK-42,1/8 x 1/16
1/8 x 3/8,1/8 x 3/8,SL-41,B71410,SL-41,1/8 x 3/8
1/8 x 1/2,1/8 x 1/2,SL-42,B71415,SL-42,1/8 x 1/2
1/8 x 11/32,1/8 x 11/32,SM-41,B71420,SM-41,1/8 x 11/32
1/8 x 7/16,1/8 x 7/16,SM-42,B71425,SM-42,1/8 x 7/16
1/8 x 5/8,1/8 x 5/8,SM-43,B71430,SM-43,1/8 x 5/8
3/32 x 1/8,3/32 x 1/8,SN-41,B71435,SN-41,3/32 x 1/8
1/8 x 3/16,1/8 x 3/16,SN-42,B71440,SN-42,1/8 x 3/16
