HEAD SIZE,HEAD SIZE.1,SHAPE,STOCK #,DIA. x LENGTH,DIA. x LENGTH.1
SA-1NF,SA-1NF,CYLINDRICAL,B71202A,1/4 x 5/8,
SA-3NF,SA-3NF,CYLINDRICAL,B71205A,3/8 x 3/4,
SA-5NF,SA-5NF,CYLINDRICAL,B71208A,1/2 x 1,
SA-6NF,SA-6NF,CYLINDRICAL,B71209A,5/8 x 1,
SA-7NF,SA-7NF,CYLINDRICAL,B71210A,3/4 x 1,
*SA-7NFR,*SA-7NFR,CYLINDRICAL,B71210BA,3/4 x 1,
SC-1NF,SC-1NF,CYLINDRICAL,B71222A,1/4 x 5/8,
SC-3NF,SC-3NF,CYLINDRICAL,B71225A,3/8 x 3/4,
SC-5NF,SC-5NF,CYLINDRICAL,B71228A,1/2 x 1,
SC-6NF,SC-6NF,CYLINDRICAL,B71229A,5/8 x 1,
SC-7NF,SC-7NF,CYLINDRICAL,B71230A,3/4 x 1,
*SC-7NFR,*SC-7NFR,CYLINDRICAL,B71230BA,3/4 x 1,
