HEAD SIZE,HEAD SIZE.1,SHAPE,STOCK #,DIA. x LENGTH,DIA. x LENGTH.1
SF-1NF,SF-1NF,TREE - RADIUS END,B71252A,1/4 x 5/8,
SF-3NF,SF-3NF,TREE - RADIUS END,B71253A,3/8 x 3/4,
SF-5NF,SF-5NF,TREE - RADIUS END,B71255A,1/2 x 1,
SF-6NF,SF-6NF,TREE - RADIUS END,B71256A,5/8 x 1,
SF-7NF,SF-7NF,TREE - RADIUS END,B71257A,3/4 x 1,
*SF-7NFR,*SF-7NFR,TREE - RADIUS END,B71258BA,3/4 x 1,
SL-1NF,SL-1NF,TAPER CONE,B71281A,1/4 x 5/8,
SL-3NF,SL-3NF,TAPER CONE,B71283A,3/8 x 1-1/16,
SL-4NF,SL-4NF,TAPER CONE,B71284A,1/2 x 1-1/8,
SL-5NF,SL-5NF,TAPER CONE,B71287AA,5/8 x 1-3/16,
SL-6NF,SL-6NF,TAPER CONE,B71285A,5/8 x 1-5/16,
