STYLE,OAL,DIA. OF CUT,DIA.,SHANK,STOCK #,NO END CUT,BURR END,END MILL END,DRILL END
FGR-1,1/16,3/16,1/8,1-1/2,B71701A,B71701B,B71701C,B71701D,
FGR-1.1,3/32,3/8,1/8,1-1/2,B71703A,B71703B,B71703C,B71703D,
FGR-2,1/8,1/2,1/8,1-1/2,B71705A,B71705B,B71705C,B71705D,
FGR-3,3/16,5/8,3/16,2,B71707A,B71707B,B71707C,B71707D,
FGR-4,3/16,5/8,1/4,2,B71709A,B71709B,B71709C,B71709D,
FGR-5,1/4,3/4,1/4,2,B71711A,B71711B,B71711C,B71711D,
FGR-6,1/4,3/4,1/4,2-1/2,B71713A,B71713B,B71713C,B71713D,
FGR-6.2,1/4,1,1/4,3,B71715A,B71715B,B71715C,B71715D,
FGR-7,5/16,1,5/16,2-1/2,B71717A,B71717B,B71717C,B71717D,
FGR-8,3/8,1,3/8,2-1/2,B71719A,B71719B,B71719C,B71719D,
FGR-9,1/2,1,1/2,3,B71721A,B71721B,B71721C,B71721D,
