SHAPE,DIA. x LENGTH,STOCK #
A - CYLINDRICAL,1/8 x 1/2,BH74201
A - CYLINDRICAL,1/4 x 1,BH74202
A - CYLINDRICAL,1/4 x 1-1/2,BH74203
A - CYLINDRICAL,3/8 x 1,BH74204
A - CYLINDRICAL,3/8 x 1-1/2,BH74205
A - CYLINDRICAL,1/2 x 1,BH74206
A - CYLINDRICAL,1/2 x 1-1/2,BH74207
A - CYLINDRICAL,5/8 x 1,BH74208
A - CYLINDRICAL,3/4 x 3/4,BH74209
A - CYLINDRICAL,1 x 1,BH74210
AE - CYLINDRICAL END CUT,1/8 x 1/2,BH74240
AE - CYLINDRICAL END CUT,1/4 x 1,BH74241
AE - CYLINDRICAL END CUT,1/4 x 1-1/2,BH74242
AE - CYLINDRICAL END CUT,3/8 x 1,BH74243
AE - CYLINDRICAL END CUT,3/8 x 1-1/2,BH74244
AE - CYLINDRICAL END CUT,1/2 x 1,BH74245
AE - CYLINDRICAL END CUT,1/2 x 1-1/2,BH74246
AE - CYLINDRICAL END CUT,5/8 x 1,BH74247
AE - CYLINDRICAL END CUT,3/4 x 3/4,BH74248
AE - CYLINDRICAL END CUT,1 x 1,BH74249
B - BALL SHAPE,1/8 x 1/8,BH74215
B - BALL SHAPE,1/4 x 1/4,BH74216
B - BALL SHAPE,5/16 x 5/16,BH74217
B - BALL SHAPE,3/8 x 3/8,BH74218
B - BALL SHAPE,1/2 x 1/2,BH74219
B - BALL SHAPE,3/4 x 3/4,BH74220
C - CYLINDRICAL ROUND,1/8 x 1/2,BH74251
C - CYLINDRICAL ROUND,1/4 x 1,BH74252
C - CYLINDRICAL ROUND,3/8 x 1,BH74254
C - CYLINDRICAL ROUND,3/8 x 1-1/2,BH74255
C - CYLINDRICAL ROUND,1/2 x 1,BH74256
C - CYLINDRICAL ROUND,5/8 x 1,BH74257
R - TREE-RADIUS NOSE,1/4 x 3/4,BH74221
R - TREE-RADIUS NOSE,1/2 x 1-1/8,BH74222
R - TREE-RADIUS NOSE,3/4 x 1-1/4,BH74223
R - TREE-RADIUS NOSE,1-1/8 x 1-3/4,BH74224
Q - OLIVE SHAPED,3/16 x 5/16,BH74261
Q - OLIVE SHAPED,1/4 x 7/16,BH74262
Q - OLIVE SHAPED,3/8 x 5/8,BH74263
Q - OLIVE SHAPED,1/2 x 7/8,BH74264
Q - OLIVE SHAPED,5/8 x 1,BH74265
Q - OLIVE SHAPED,3/4 x 1,BH74266
Q - OLIVE SHAPED,1 x 1-3/8,BH74267
T - TREE POINTED,1/4 x 3/4,BH74226
T - TREE POINTED,3/8 x 3/4,BH74227
T - TREE POINTED,1/2 x 3/4,BH74228
T - TREE POINTED,1/2 x 1-1/8,BH74229
T - TREE POINTED,5/8 x 1,BH74230
H - CONE SHAPE,1/4 x 1/2,BH74270
H - CONE SHAPE,1/4 x 3/4,BH74271
H - CONE SHAPE,1/4 x 1,BH74272
H - CONE SHAPE,5/16 x 1,BH74274
H - CONE SHAPE,3/8 x 5/8,BH74275
H - CONE SHAPE,1/2 x 7/8,BH74276
H - CONE SHAPE,5/8 x 1,BH74277
H - CONE SHAPE,1 x 1-3/8,BH74278
I - INVERTED CONE,1/2 x 1/2,BH74235
I - INVERTED CONE,3/4 x 1/2,BH74236
D - DEBURRING,1/2 x 60O ANGLE,BH74238
D - DEBURRING,5/8 x 60O ANGLE,BH74239
