OAL,MILL SHANK FLUTE,MILL SHANK FLUTE.1,OAL.1,STOCK #,MILL SHANK FLUTE.2,OAL.2,STOCK #.1
SCL61351,SCL61351AL,1/16,1/8,1/8,1-1/2,SCS61341,SCS61341AL
SCL61353,SCL61353AL,3/32,1/8,3/16,1-1/2,SCS61342,SCS61342AL
SCL61355,SCL61355AL,1/8,1/8,1/4,1-1/2,SCS61343,SCS61343AL
SCL61357,SCL61357AL,5/32,3/16,5/16,2,SCS61344,SCS61344AL
SCL61359,SCL61359AL,3/16,3/16,3/8,2,SCS61345,SCS61345AL
SCL61361,SCL61361AL,7/32,1/4,7/16,2,SCS61346,SCS61346AL
SCL61364,SCL61364AL,1/4,1/4,1/2,2,SCS61347,SCS61347AL
SCL61366,SCL61366AL,5/16,5/16,1/2,2,SCS61348,SCS61348AL
SCL61368,SCL61368AL,3/8,3/8,5/8,2,SCS61349,SCS61349AL
SCL61370,SCL61370AL,7/16,7/16,5/8,3,SCS61350,SCS61350AL
SCS61351,SCS61351AL,,,,,,
SCS61352,SCS61352AL,,,,,,
SCS61353,SCS61353AL,,,,,,
SCL61370,SCL61370AL,,,,,,
