MILL SHANK FLUTE STOCK #,MILL SHANK FLUTE STOCK #.1,OAL,OAL.1,DIA.,DIA..1,LENGTH,UNCOATED AlTiN COATED,DIA..2,DIA..3,LENGTH.1,UNCOATED AlTiN COATED.1
1/32,1/8,3/32,1-1/2,SC61300,SC61300AL,21/64,3/8,7/8,2-1/2,SC61318,SC61318AL
3/64,1/8,1/8,1-1/2,SC61300A,SC61300AAL,11/32,3/8,7/8,2-1/2,SC61319,SC61319AL
1/16,1/8,1/4,1-1/2,SC61301,SC61301AL,23/64,3/8,7/8,2-1/2,SC61320,SC61320AL
5/64,1/8,1/4,1-1/2,SC61302,SC61302AL,3/8,3/8,7/8,2-1/2,SC61321,SC61321AL
3/32,1/8,3/8,1-1/2,SC61303,SC61303AL,25/64,7/16,7/8,2-1/2,SC61322,SC61322AL
7/64,1/8,3/8,1-1/2,SC61304,SC61304AL,13/32,7/16,7/8,2-1/2,SC61323,SC61323AL
1/8,1/8,1/2,1-1/2,SC61305,SC61305AL,27/64,7/16,7/8,2-1/2,SC61324,SC61324AL
9/64,3/16,9/16,2,SC61306,SC61306AL,7/16,7/16,1,2-1/2,SC61325,SC61325AL
5/32,3/16,9/16,2,SC61307,SC61307AL,29/64,1/2,1,3,SC61326,SC61326AL
11/64,3/16,9/16,2,SC61308,SC61308AL,15/32,1/2,1,3,SC61327,SC61327AL
3/16,3/16,5/8,2,SC61309,SC61309AL,31/64,1/2,1,3,SC61328,SC61328AL
13/64,1/4,5/8,2-1/2,SC61310,SC61310AL,1/2,1/2,1,3,SC61329,SC61329AL
7/32,1/4,5/8,2-1/2,SC61311,SC61311AL,9/16,9/16,1-1/4,3-1/2,SC61330,SC61330AL
15/64,1/4,3/4,2-1/2,SC61312,SC61312AL,5/8,5/8,1-1/4,3-1/2,SC61331,SC61331AL
1/4,1/4,3/4,2-1/2,SC61313,SC61313AL,11/16,3/4,1-1/2,4,SC61332,SC61332AL
17/64,5/16,7/8,2-1/2,SC61314,SC61314AL,3/4,3/4,1-1/2,4,SC61333,SC61333AL
9/32,5/16,7/8,2-1/2,SC61315,SC61315AL,7/8,7/8,1-1/2,4,SC61334,SC61334AL
19/64,5/16,7/8,2-1/2,SC61316,SC61316AL,1,1,1-1/2,4,SC61335,SC61335AL
5/16,5/16,7/8,2-1/2,SC61317,SC61317AL,,,,,,
