DIA.,DIA..1,LENGTH,UNCOATED,AlTiN COATED
1/8,3/32,1-1/2,SCB61365,SCB61365AL
1/8,1/8,1-1/2,SCB61366,SCB61366AL
1/8,1/4,1-1/2,SCB61367,SCB61367AL
1/8,1/4,1-1/2,SCB61368,SCB61368AL
1/8,3/8,1-1/2,SCB61369,SCB61369AL
1/8,3/8,1-1/2,SCB61370,SCB61370AL
1/8,1/2,1-1/2,SCB61371,SCB61371AL
3/16,9/16,2,SCB61372,SCB61372AL
3/16,5/8,2,SCB61373,SCB61373AL
1/4,5/8,2-1/2,SCB61374,SCB61374AL
1/4,3/4,2-1/2,SCB61375,SCB61375AL
5/16,7/8,2-1/2,SCB61376,SCB61376AL
5/16,7/8,2-1/2,SCB61377,SCB61377AL
3/8,7/8,2-1/2,SCB61378,SCB61378AL
7/16,1,2-1/2,SCB61379,SCB61379AL
1/2,1,3,SCB61380,SCB61380AL
9/16,1-1/4,3-1/2,SCB61381,SCB61381AL
5/8,1-1/4,3-1/2,SCB61382,SCB61382AL
3/4,1-1/2,4,SCB61383,SCB61383AL
7/8,1-1/2,4,SCB61384,SCB61384AL
1,1-1/2,4,SCB61385,SCB61385AL
