DIA. MM,DIA. MM.1,LENGTH MM,UNCOATED,AlTiN COATED
3.0,6,38,SCM91302,SCM91302AL
3.0,7,38,SCM91304,SCM91304AL
3.0,12,38,SCM91306,SCM91306AL
4.0,12,50,SCM91308,SCM91308AL
4.0,14,50,SCM91310,SCM91310AL
5.0,14,50,SCM91312,SCM91312AL
5.0,16,50,SCM91314,SCM91314AL
6.0,19,63,SCM91316,SCM91316AL
8.0,19,63,SCM91318,SCM91318AL
8.0,19,63,SCM91320,SCM91320AL
10.0,22,70,SCM91322,SCM91322AL
10.0,22,70,SCM91324,SCM91324AL
11.0,25,70,SCM91325,SCM91325AL
12.0,25,75,SCM91326,SCM91326AL
14.0,30,88,SCM91327,SCM91327AL
16.0,32,88,SCM91328,SCM91328AL
18.0,36,100,SCM91329,SCM91329AL
20.0,38,100,SCM91330,SCM91330AL
22.0,38,100,SCM91331,SCM91331AL
