DIA.,DIA..1,LENGTH,UNCOATED,AlTiN COATED
1/8,3/32,2,DEC66801,DEC66801AL
1/8,1/8,2,DEC66802,DEC66802AL
1/8,3/16,2,DEC66803,DEC66803AL
1/8,1/4,2,DEC66804,DEC66804AL
1/8,3/8,2,DEC66805,DEC66805AL
3/16,7/16,2-1/2,DEC66807,DEC66807AL
3/16,1/2,2-1/2,DEC66809,DEC66809AL
1/4,9/16,2-1/2,DEC66811,DEC66811AL
1/4,5/8,2-1/2,DEC66813,DEC66813AL
5/16,3/4,3-1/2,DEC66815,DEC66815AL
3/8,3/4,3-1/2,DEC66817,DEC66817AL
7/16,7/8,4,DEC66819,DEC66819AL
1/2,1,4,DEC66821,DEC66821AL
1/8,1/16,1-1/2,DEC66830,DEC66830AL
1/8,3/32,1-1/2,DEC66831,DEC66831AL
1/8,1/8,1-1/2,DEC66832,DEC66832AL
1/8,3/16,1-1/2,DEC66833,DEC66833AL
1/8,1/4,1-1/2,DEC66839,DEC66839AL
3/16,5/16,2,DEC66841,DEC66841AL
3/16,3/8,2,DEC66843,DEC66843AL
1/4,1/2,2-1/2,DEC66845,DEC66845AL
1/4,1/2,2-1/2,DEC66847,DEC66847AL
5/16,1/2,2-1/2,DEC66849,DEC66849AL
3/8,1/2,2-1/2,DEC66851,DEC66851AL
7/16,1/2,2-1/2,DEC66853,DEC66853AL
1/2,5/8,3,DEC66855,DEC66855AL
