DIA.,DIA..1,LENGTH,UNCOATED,AlTiN COATED
1/8,3/4,2,SCL60651,SCL60651AL
3/16,1-1/8,3,SCL60653,SCL60653AL
1/4,1-1/2,4,SCL60655,SCL60655AL
5/16,1-5/8,4,SCL60657,SCL60657AL
3/8,2,4,SCL60659,SCL60659AL
7/16,2,4,SCL60661,SCL60661AL
1/2,3,6,SCL60664,SCL60664AL
5/8,3,6,SCL60666,SCL60666AL
3/4,3,6,SCL60668,SCL60668AL
1,3,6,SCL60670,SCL60670AL
1/8,1/8,1-1/2,SCS60641,SCS60641AL
1/8,3/16,1-1/2,SCS60642,SCS60642AL
1/8,1/4,1-1/2,SCS60643,SCS60643AL
3/16,5/16,2,SCS60644,SCS60644AL
3/16,3/8,2,SCS60645,SCS60645AL
1/4,7/16,2,SCS60646,SCS60646AL
1/4,1/2,2,SCS60647,SCS60647AL
5/16,1/2,2,SCS60648,SCS60648AL
3/8,5/8,2,SCS60649,SCS60649AL
7/16,5/8,3,SCS60650,SCS60650AL
1/2,5/8,2-1/2,SCS60651,SCS60651AL
5/8,3/4,3,SCS60652,SCS60652AL
3/4,1,3,SCS60653,SCS60653AL
