DIA.,DIA..1,LENGTH,UNCOATED,AlTiN COATED
1/8,3/32,1-1/2,SC60600,SC60600AL
1/8,1/8,1-1/2,SC60600A,SC60600AAL
1/8,1/4,1-1/2,SC60601,SC60601AL
1/8,1/4,1-1/2,SC60602,SC60602AL
1/8,3/8,1-1/2,SC60603,SC60603AL
1/8,3/8,1-1/2,SC60604,SC60604AL
1/8,1/2,1-1/2,SC60605,SC60605AL
3/16,9/16,2,SC60606,SC60606AL
3/16,9/16,2,SC60607,SC60607AL
3/16,9/16,2,SC60608,SC60608AL
3/16,5/8,2,SC60609,SC60609AL
1/4,5/8,2-1/2,SC60610,SC60610AL
1/4,5/8,2-1/2,SC60611,SC60611AL
1/4,3/4,2-1/2,SC60612,SC60612AL
1/4,3/4,2-1/2,SC60613,SC60613AL
5/16,7/8,2-1/2,SC60614,SC60614AL
5/16,7/8,2-1/2,SC60615,SC60615AL
5/16,7/8,2-1/2,SC60616,SC60616AL
5/16,7/8,2-1/2,SC60617,SC60617AL
