DIA.,DIA..1,LENGTH,UNCOATED,AlTiN COATED,DIA..2,DIA..3,LENGTH.1,UNCOATED.1,AlTiN COATED.1
3/32,2,DEC66861,DEC66861AL,1/32,1/8,1/16,1-1/2,DEC66883,DEC66883AL
1/8,2,DEC66862,DEC66862AL,3/64,1/8,3/32,1-1/2,DEC66885,DEC66885AL
3/16,2,DEC66863,DEC66863AL,1/16,1/8,1/8,1-1/2,DEC66887,DEC66887AL
1/4,2,DEC66864,DEC66864AL,3/32,1/8,3/16,1-1/2,DEC66889,DEC66889AL
3/8,2,DEC66865,DEC66865AL,1/8,1/8,1/4,1-1/2,DEC66891,DEC66891AL
7/16,2-1/2,DEC66867,DEC66867AL,5/32,3/16,5/16,2,DEC66892,DEC66892AL
1/2,2-1/2,DEC66869,DEC66869AL,3/16,3/16,3/8,2,DEC66893,DEC66893AL
9/16,2-1/2,DEC66871,DEC66871AL,7/32,1/4,1/2,2-1/2,DEC66894,DEC66894AL
5/8,2-1/2,DEC66873,DEC66873AL,1/4,1/4,1/2,2-1/2,DEC66895,DEC66895AL
3/4,3-1/2,DEC66875,DEC66875AL,5/16,5/16,1/2,2-1/2,DEC66896,DEC66896AL
3/4,3-1/2,DEC66877,DEC66877AL,3/8,3/8,1/2,2-1/2,DEC66897,DEC66897AL
7/8,4,DEC66879,DEC66879AL,7/16,7/16,1/2,2-1/2,DEC66898,DEC66898AL
1,4,DEC66881,DEC66881AL,1/2,1/2,5/8,3,DEC66899,DEC66899AL
