DIA.,DIA..1,LENGTH,AlTiN COATED,DIA..2,DIA..3,LENGTH.1,AlTiN COATED.1
3/8,1-1/2,HPSC60605AL,1/8,1/8,3/8,1-1/2,HPSCB60671AL
7/16,2,HPSC60609AL,3/16,3/16,7/16,2,HPSCB60672AL
5/8,2-1/2,HPSC60613AL,1/4,1/4,5/8,2-1/2,HPSCB60673AL
13/16,2-1/2,HPSC60617AL,5/16,5/16,13/16,2-1/2,HPSCB60674AL
7/8,2-1/2,HPSC60621AL,3/8,3/8,7/8,2-1/2,HPSCB60675AL
1,2-3/4,HPSC60625AL,7/16,7/16,1,2-3/4,HPSCB60676AL
1,3,HPSC60629AL,1/2,1/2,1,3,HPSCB60677AL
1-1/4,3-1/2,HPSC60631AL,5/8,5/8,1-1/4,3-1/2,HPSCB60678AL
1-1/2,4,HPSC60633AL,3/4,3/4,1-1/2,4,HPSCB60679AL
1-1/2,4,HPSC60635AL,1,1,1-1/2,4,HPSCB60680AL
