DIA.,DIA. OF CUT,CUTTER SHANK LENGTH,OAL,STOCK #,NO. OF FLUTES,UNCOATED,AlTiN COATED
1/4,1/4,3/4,2-1/2,SCREM50801,3,SCREM50801AL,
5/16,5/16,3/4,2-1/2,SCREM50802,3,SCREM50802AL,
3/8,3/8,1,2-1/2,SCREM50803,3,SCREM50803AL,
7/16,7/16,1,3,SCREM50803A,3,SCREM50803AAL,
1/2,1/2,1-1/4,3,SCREM50804,3,SCREM50804AL,
5/8,5/8,1-1/4,3-1/2,SCREM50806,3,SCREM50806AL,
3/4,3/4,1-1/2,4,SCREM50811,3,SCREM50811AL,
1,1,1-1/2,4,SCREM50818,3,SCREM50818AL,
1/4,1/4,1-1/8,3,SCREM50829,3,SCREM50829AL,
3/8,3/8,1-1/4,3,SCREM50830,3,SCREM50830AL,
1/2,1/2,2,4,SCREM50831,3,SCREM50831AL,
5/8,5/8,2-1/4,5,SCREM50832,3,SCREM50832AL,
3/4,3/4,2-1/4,5,SCREM50833,3,SCREM50833AL,
1,1,2-1/4,5,SCREM50841,3,SCREM50841AL,
