DIA.,DIA..1,LENGTH,LENGTH.1,ALFA USA
1/8,3/8,1-1/2,3-1/4,SEL151351
3/16,3/8,1-5/8,3-5/16,SEL151352
1/4,3/8,2,4,SEL151353
5/16,3/8,2-1/16,4-1/16,SEL151354
3/8,3/8,2-1/16,4-1/16,SEL151355
7/16,3/8,2-1/4,4-1/4,SEL151356
1/2,3/8,2-1/4,4-1/4,SEL151357
1/2,1/2,2-1/4,4-1/4,SEL151358
9/16,1/2,2-3/8,4-3/8,SEL151359
5/8,1/2,2-3/8,4-3/8,SEL151360
5/8,5/8,2-1/2,4-1/2,SEL151361
11/16,1/2,2-1/2,4-1/2,SEL151362
11/16,5/8,2-1/2,4-1/2,SEL151363
3/4,1/2,2-1/2,4-1/2,SEL151364
3/4,5/8,2-1/2,4-1/2,SEL151365
3/4,3/4,2-5/8,4-5/8,SEL151366
7/8,7/8,2-5/8,4-5/8,SEL151367
1,1,3,5-1/2,SEL151368
1-1/8,1,3,5-1/2,SEL151369
1-1/4,1,3,5-1/2,SEL151370
1-3/8,1,3,5-1/2,SEL151371
1-1/2,1-1/4,3,5-1/2,SEL151372
1-5/8,1-1/4,3,5-1/2,SEL151373
1-3/4,1-1/4,3,5-1/2,SEL151374
1-7/8,1-1/4,3,5-1/2,SEL151375
2,1-1/4,3,5-1/2,SEL151376
