DIA.,DIA..1,LENGTH,LENGTH.1,ALFA USA
1/8,3/8,3/8,2-5/16,SE151301
3/16,3/8,7/16,2-5/16,SE151302
1/4,3/8,1/2,2-5/16,SE151303
5/16,3/8,9/16,2-5/16,SE151304
3/8,3/8,9/16,2-5/16,SE151305
7/16,3/8,13/16,2-1/2,SE151306
1/2,3/8,13/16,2-1/2,SE151307
1/2,1/2,1,3,SE151308
9/16,1/2,1-1/8,3-1/8,SE151309
5/8,1/2,1-1/8,3-1/8,SE151310
5/8,5/8,1-5/16,3-7/16,SE151311
11/16,1/2,1-5/16,3-5/16,SE151312
11/16,5/8,1-5/16,3-7/16,SE151313
3/4,1/2,1-5/16,3-5/16,SE151314
3/4,5/8,1-5/16,3-7/16,SE151315
3/4,3/4,1-5/16,3-9/16,SE151316
13/16,3/4,1-1/2,3-3/4,SE151317
7/8,5/8,1-1/2,3-5/8,SE151318
7/8,3/4,1-1/2,3-3/4,SE151319
7/8,7/8,1-1/2,3-3/4,SE151320
15/16,3/4,1-1/2,3-3/4,SE151321
1,3/4,1-1/2,3-3/4,SE151324
1,1,1-5/8,4-1/8,SE151325
1-1/8,3/4,1-1/2,3-7/8,SE151326
1-1/8,1,1-5/8,4-1/8,SE151327
1-1/4,3/4,1-1/2,3-7/8,SE151328
1-1/4,1,1-5/8,4-1/8,SE151329
1-1/4,1-1/4,1-5/8,4-1/8,SE151330
1-3/8,3/4,1-1/2,3-7/8,SE151331
1-3/8,1,1-5/8,4-1/8,SE151332
1-1/2,3/4,1-1/2,3-7/8,SE151334
1-1/2,1,1-5/8,4-1/8,SE151335
1-1/2,1-1/4,1-5/8,4-1/8,SE151336
1-5/8,1-1/4,1-5/8,4-1/8,SE151338
1-3/4,3/4,1-1/2,3-7/8,SE151339
1-3/4,1-1/4,1-5/8,4-1/8,SE151340
1-7/8,1-1/4,1-5/8,4-1/8,SE151341
2,3/4,1-1/2,3-7/8,SE151342
2,1-1/4,1-5/8,4-1/8,SE151344
