DIA.," ""DIA."""," ""LENGTH"""," ""LENGTH"".1"," ""ALFA USA"""
1/8," ""3/8"""," ""3/8"""," ""3-1/16"""," ""CO50731"""
5/32," ""3/8"""," ""7/16"""," ""3-1/8"""," ""CO50732"""
3/16," ""3/8"""," ""7/16"""," ""3-1/8"""," ""CO50733"""
7/32," ""3/8"""," ""1/2"""," ""3-1/8"""," ""CO50734"""
1/4," ""3/8"""," ""1/2"""," ""3-1/8"""," ""CO50735"""
9/32," ""3/8"""," ""9/16"""," ""3-1/8"""," ""CO50736"""
5/16," ""3/8"""," ""9/16"""," ""3-1/8"""," ""CO50737"""
3/8," ""3/8"""," ""9/16"""," ""3-1/8"""," ""CO50739"""
13/32," ""1/2"""," ""13/16"""," ""3-3/4"""," ""CO50740"""
7/16," ""1/2"""," ""13/16"""," ""3-3/4"""," ""CO50741"""
1/2," ""1/2"""," ""13/16"""," ""3-3/4"""," ""CO50743"""
9/16," ""5/8"""," ""1-1/8"""," ""4-1/2"""," ""CO50744"""
5/8," ""5/8"""," ""1-1/8"""," ""4-1/2"""," ""CO50745"""
3/4," ""3/4"""," ""1-5/16"""," ""5"""," ""CO50747"""
7/8," ""7/8"""," ""1-9/16"""," ""5-1/2"""," ""CO50749"""
1," ""1"""," ""1-5/8"""," ""5-7/8"""," ""CO50751"""
