DIA.," ""DIA."""," ""LENGTH"""," ""LENGTH"".1"," ""ALFA USA"""
1/8," ""3/8"""," ""3/8"""," ""2-5/16"""," ""CO51301"""
3/16," ""3/8"""," ""7/16"""," ""2-5/16"""," ""CO51302"""
1/4," ""3/8"""," ""1/2"""," ""2-5/16"""," ""CO51303"""
5/16," ""3/8"""," ""9/16"""," ""2-5/16"""," ""CO51304"""
3/8," ""3/8"""," ""9/16"""," ""2-5/16"""," ""CO51305"""
7/16," ""3/8"""," ""13/16"""," ""2-1/2"""," ""CO51306"""
1/2," ""3/8"""," ""13/16"""," ""2-1/2"""," ""CO51307"""
1/2," ""1/2"""," ""1"""," ""3"""," ""CO51308"""
9/16," ""1/2"""," ""1-1/8"""," ""3-1/8"""," ""CO51309"""
5/8," ""1/2"""," ""1-1/8"""," ""3-1/8"""," ""CO51310"""
5/8," ""5/8"""," ""1-5/16"""," ""3-7/16"""," ""CO51311"""
3/4," ""1/2"""," ""1-5/16"""," ""3-5/16"""," ""CO51314"""
3/4," ""5/8"""," ""1-5/16"""," ""3-7/16"""," ""CO51315"""
3/4," ""3/4"""," ""1-5/16"""," ""3-9/16"""," ""CO51316"""
7/8," ""5/8"""," ""1-1/2"""," ""3-5/8"""," ""CO51318"""
7/8," ""7/8"""," ""1-1/2"""," ""3-3/4"""," ""CO51320"""
1," ""5/8"""," ""1-1/2"""," ""3-5/8"""," ""CO51323"""
1," ""3/4"""," ""1-1/2"""," ""3-3/4"""," ""CO51324"""
1," ""1"""," ""1-5/8"""," ""4-1/8"""," ""CO51325"""
1-1/4," ""1-1/4"""," ""1-5/8"""," ""4-1/8"""," ""CO51330"""
1-1/2," ""1-1/4"""," ""1-5/8"""," ""4-1/8"""," ""CO51336"""
2," ""1-1/4"""," ""1-5/8"""," ""4-1/8"""," ""CO51343"""
