STANDARD,OAL,STOCK #,STANDARD.1,DIA.,WIDTH
1,204,1/2,1/16,2-1/16,WKC51761
2,304,1/2,3/32,2-3/32,WKC51762
3,305,5/8,3/32,2-3/32,WKC51763
4,404,1/2,1/8,2-1/8,WKC51764
5,405,5/8,1/8,2-1/8,WKC51765
7,406,3/4,1/8,2-1/8,WKC51766
6,505,5/8,5/32,2-5/32,WKC51767
61,605,5/8,3/16,2-3/16,WKC51768
8,506,3/4,5/32,2-5/32,WKC51769
91,806,3/4,1/4,2-1/4,WKC51770
10,507,7/8,5/32,2-5/32,WKC51771
9,606,3/4,3/16,2-3/16,WKC51772
11,607,7/8,3/16,2-3/16,WKC51773
12,707,7/8,7/32,2-7/32,WKC51774
13,608,1,3/16,2-3/16,WKC51775
14,708,1,7/32,2-7/32,WKC51776
152,1208,1,3/8,2-3/8,WKC51777
16,609,1-1/8,3/16,2-3/16,WKC51778
